Note,Value
Begin Recording - 15:13:21,
Window 1,
,77
,78
,77
,77
,78
,79
,80
,82
,83
,86
,89
,91
,93
,95
,97
,99
,100
,100
,101
,101
,100
,99
,99
,98
,98
,98
,98
,97
,97
,98
,97
,97
,97
,98
,97
,96
,95
,96
,96
,100
,107
,116
,126
,135
,140
,142
,141
,140
,140
,144
,146
,148
,147
,146
,144
,144
,143
,142
,141
,139
,138
,136
,134
,133
,131
,130
,128
,127
,127
,127
,126
,126
,125
,124
,123
,122
,124
,124
,126
,126
,126
,124
,124
,122
,123
,124
,126
,128
,129
,130
,130
,131
,131
,131
,131
,131
,131
,130
,129
,129
,129
,128
,126
,127
,127
,127
,127
,128
,128
,129
,130
,130
,130
,131
,132
,132
,131
,132
,132
,132
,133
,132
,132
,132
,132
,132
,131
,131
,130
,130
,130
,129
,130
,129
,129
,129
,129
,129
,129
,128
,129
,129
,129
,129
,129
,130
,130
,131
,132
,131
,130
,129
,128
,128
,127
,127
,126
,126
,125
,125
,123
,122
,122
,122
,121
,121
,122
,122
,123
,123
,123
,123
,122
,121
,121
,120
,120
,120
,121
,122
,123
,123
,124
,125
,125
,126
,126
,127
,127
,127
,127
,127
,127
,126
,125
,125
,123
,122
,122
,122
,121
,121
,122
,123
,123
,124
,126
,127
,126
,127
,127
,128
,127
,127
,126
,126
,126
,125
,125
,125
,125
,126
,126
,125
,126
,126
,126
,126
,125
,125
,124
,124
,124
,123
,123
,122
,122
,121
,121
,121
,121
,120
,121
,121
,120
,120
,120
,119
,119
,119
,119
,124
,130
,137
,142
,146
,147
,146
,146
,147
,146
,146
,148
,150
,151
,150
,150
,148
,146
,145
,143
,143
,141
,140
,138
,138
,137
,137
,136
,134
,133
,132
,131
,132
,133
,134
,135
,135
,137
,137
,138
,138
,137
,136
,135
,134
,133
,132
,130
,129
,128
,127
,126
,125
,123
,125
,127
,131
,135
,138
,141
,146
,149
,153
,156
,157
,156
,154
,153
,151
,149
,147
,147
,152
,158
,167
,187
,212
,240
,265
,286
,296
,296
,297
,298
,298
,305
,310
,312
,308
,306
,306
,305
,305
,303
,301
,317
,346
,378
,412
,447
,474
,486
,484
,486
,495
,498
,493
,487
,482
,478
,478
,477
,476
,475
,475
,474
,472
,472
,468
,464
,470
,476
,479
,483
,490
,495
,495
,494
,492
,490
,492
,492
,490
,485
,480
,479
,477
,475
,474
,472
,468
,464
,460
,457
,451
,449
,446
,441
,437
,432
,427
,421
,418
,422
,429
,435
,436
,434
,432
,429
,424
,419
,414
,409
,408
,406
,402
,399
,398
,398
,402
,406
,405
,400
,396
,390
,386
,383
,381
,382
,384
,381
,379
,376
,371
,369
,371
,369
,365
,361
,359
,354
,354
,359
,363
,364
,363
,360
,356
,355
,353
,348
,347
,343
,341
,340
,340
,340
,337
,336
,335
,332
,331
,326
,322
,323
,331
,339
,343
,340
,338
,334
,330
,327
,324
,328
,327
,325
,321
,317
,314
,316
,319
,321
,323
,320
,317
,313
,310
,309
,310
,309
,311
,314
,312
,308
,308
,305
,302
Window 2,
,147
,148
,147
,148
,149
,149
,151
,152
,153
,155
,156
,156
,157
,156
,155
,154
,154
,153
,152
,151
,151
,151
,150
,150
,149
,149
,149
,149
,149
,149
,149
,149
,149
,149
,150
,151
,151
,152
,152
,153
,153
,152
,152
,151
,151
,151
,151
,151
,150
,149
,150
,149
,149
,148
,147
,148
,147
,147
,146
,146
,146
,146
,145
,146
,146
,145
,145
,145
,145
,145
,145
,145
,146
,148
,149
,151
,153
,154
,154
,153
,152
,150
,149
,147
,146
,146
,145
,145
,144
,143
,142
,141
,141
,141
,140
,139
,140
,140
,139
,140
,140
,140
,141
,140
,140
,140
,139
,139
,139
,139
,139
,138
,138
,137
,137
,136
,136
,134
,136
,135
,134
,135
,135
,135
,136
,136
,135
,136
,135
,135
,134
,134
,133
,133
,132
,132
,132
,131
,131
,130
,129
,129
,129
,129
,128
,128
,128
,128
,128
,128
,128
,128
,128
,128
,128
,128
,128
,129
,130
,131
,131
,132
,132
,132
,132
,131
,131
,130
,129
,128
,127
,126
,125
,125
,125
,124
,124
,124
,123
,123
,123
,123
,123
,123
,123
,124
,123
,124
,123
,123
,123
,123
,124
,124
,125
,126
,126
,126
,126
,126
,125
,124
,124
,123
,123
,122
,121
,121
,121
,122
,121
,121
,121
,122
,122
,122
,122
,122
,122
,121
,122
,121
,121
,121
,121
,121
,121
,121
,121
,121
,122
,122
,121
,122
,122
,122
,122
,122
,123
,123
,123
,123
,122
,122
,121
,121
,121
,120
,120
,119
,120
,121
,122
,123
,125
,127
,127
,128
,130
,131
,132
,132
,133
,132
,131
,129
,128
,127
,126
,125
,124
,122
,122
,122
,121
,121
,120
,120
,119
,119
,119
,118
,118
,119
,119
,119
,119
,120
,119
,119
,119
,118
,118
,118
,118
,118
,117
,118
,119
,119
,119
,119
,118
,118
,117
,117
,116
,115
,114
,114
,113
,114
,114
,114
,114
,115
,114
,114
,114
,113
,113
,113
,112
,111
,111
,111
,111
,111
,110
,110
,110
,111
,110
,110
,110
,109
,110
,110
,109
,109
,108
,109
,109
,108
,109
,110
,109
,110
,110
,110
,110
,110
,109
,108
,108
,105
,105
,105
,104
,104
,103
,102
,101
,101
,102
,102
,102
,101
,101
,100
,100
,100
,100
,100
,99
,100
,100
,99
,100
,100
,100
,100
,99
,100
,100
,100
,99
,99
,100
,99
,100
,100
,100
,100
,101
,101
,101
,101
,102
,102
,102
,102
,101
,101
,100
,100
,100
,99
,98
,98
,97
,98
,98
,98
,97
,98
,97
,98
,97
,98
,98
,99
,99
,99
,99
,99
,99
,100
,99
,98
,98
,98
,98
,98
,99
,99
,97
,97
,96
,96
,96
,96
,96
,96
,96
,96
,96
,96
,96
,96
,96
,96
,96
,96
,96
,96
,96
,95
,95
,96
,96
,95
,96
,95
,96
,96
,95
,96
,96
,96
,97
,97
,96
,96
,96
,97
,97
,98
,99
,100
,101
,102
,102
,102
,103
,103
,102
,103
,101
,102
,102
,102
,103
,103
,103
,103
,103
,102
,102
,101
Window 3,
,51
,51
,52
,53
,53
,53
,54
,53
,54
,55
,55
,55
,56
,57
,57
,59
,60
,61
,61
,61
,61
,63
,62
,63
,62
,62
,61
,62
,61
,62
,61
,61
,60
,61
,60
,59
,59
,59
,60
,62
,64
,65
,66
,67
,66
,67
,66
,67
,66
,66
,66
,66
,66
,66
,66
,66
,65
,65
,64
,65
,64
,63
,63
,64
,64
,63
,64
,64
,64
,64
,64
,65
,65
,65
,66
,67
,68
,68
,68
,68
,68
,67
,66
,66
,67
,66
,65
,66
,65
,65
,65
,64
,64
,64
,64
,65
,66
,65
,66
,66
,65
,66
,64
,65
,64
,64
,64
,64
,63
,64
,64
,64
,64
,64
,64
,64
,65
,65
,64
,65
,65
,66
,67
,67
,68
,69
,70
,71
,70
,71
,70
,71
,70
,69
,69
,68
,69
,67
,67
,68
,68
,69
,69
,70
,71
,70
,70
,71
,70
,70
,69
,69
,69
,69
,69
,69
,69
,68
,69
,69
,70
,70
,70
,70
,71
,70
,70
,71
,70
,71
,72
,72
,72
,72
,72
,73
,74
,75
,78
,80
,83
,86
,87
,89
,89
,89
,88
,88
,88
,88
,86
,85
,85
,85
,84
,85
,85
,86
,87
,88
,89
,90
,90
,90
,90
,89
,90
,89
,88
,88
,87
,87
,87
,86
,86
,86
,84
,84
,83
,84
,83
,84
,84
,84
,84
,85
,85
,85
,84
,85
,85
,84
,84
,85
,85
,85
,85
,84
,83
,84
,84
,83
,84
,83
,84
,84
,83
,84
,83
,82
,81
,81
,80
,80
,81
,82
,82
,83
,84
,84
,84
,84
,85
,85
,84
,83
,84
,84
,83
,83
,83
,84
,84
,84
,84
,85
,84
,85
,85
,85
,84
,83
,83
,84
,84
,83
,83
,84
,82
,82
,82
,81
,80
,80
,81
,81
,87
,100
,120
,143
,163
,177
,187
,190
,188
,187
,190
,194
,199
,202
,206
,220
,236
,256
,276
,292
,296
,293
,294
,295
,297
,300
,299
,295
,292
,288
,291
,297
,304
,311
,315
,318
,322
,325
,328
,330
,332
,332
,332
,331
,331
,332
,334
,336
,337
,335
,332
,328
,330
,337
,348
,365
,380
,391
,395
,391
,389
,387
,386
,384
,383
,382
,378
,373
,369
,369
,369
,369
,369
,370
,370
,366
,363
,360
,356
,354
,354
,352
,349
,347
,349
,352
,355
,360
,361
,358
,360
,357
,355
,353
,352
,348
,344
,341
,338
,336
,332
,338
,341
,342
,344
,348
,353
,354
,352
,352
,352
,349
,345
,342
,339
,336
,336
,337
,341
,348
,352
,354
,351
,348
,344
,341
,343
,355
,366
,369
,365
,364
,370
,377
,378
,384
,384
,379
,375
,371
,368
,365
,365
,367
,367
,363
,357
,353
,349
,347
,350
,352
,352
,353
,352
,349
,348
,344
,341
,340
,338
,338
,338
,336
,333
,329
,325
,321
,319
,315
,313
,312
,308
,304
,301
,299
,296
,292
,290
,293
,296
,299
,301
,300
,302
,304
,303
,301
,298
,294
,292
,290
,287
,289
,294
,296
,298
,299
,299
,297
,298
,302
,305
,303
Window 4,
,70
,72
,72
,73
,73
,73
,73
,74
,75
,78
,79
,81
,82
,84
,84
,84
,84
,85
,84
,84
,84
,84
,84
,84
,85
,86
,86
,86
,87
,87
,87
,86
,86
,87
,86
,86
,86
,86
,86
,85
,85
,86
,86
,88
,88
,88
,88
,88
,87
,87
,86
,86
,85
,86
,87
,87
,88
,88
,90
,90
,91
,92
,91
,91
,92
,92
,92
,92
,91
,91
,90
,90
,89
,89
,89
,88
,89
,88
,87
,87
,86
,85
,85
,85
,85
,85
,85
,85
,85
,85
,87
,87
,87
,87
,86
,86
,88
,90
,94
,96
,99
,101
,103
,105
,106
,107
,107
,106
,106
,106
,107
,107
,107
,107
,107
,105
,106
,105
,105
,106
,106
,105
,105
,105
,104
,104
,104
,103
,103
,103
,103
,103
,103
,104
,105
,105
,105
,105
,105
,106
,106
,105
,106
,106
,105
,106
,105
,104
,103
,102
,102
,102
,102
,101
,101
,101
,100
,99
,98
,97
,96
,97
,98
,98
,100
,101
,101
,104
,105
,105
,106
,107
,107
,109
,109
,110
,111
,111
,111
,113
,113
,114
,113
,113
,112
,112
,111
,109
,109
,107
,108
,108
,109
,112
,114
,116
,120
,125
,132
,142
,154
,164
,172
,177
,180
,180
,178
,177
,176
,176
,176
,176
,177
,182
,189
,200
,209
,216
,220
,220
,218
,216
,213
,211
,209
,213
,218
,222
,226
,239
,262
,291
,329
,367
,406
,437
,452
,455
,464
,499
,536
,567
,595
,610
,609
,602
,595
,592
,605
,626
,638
,640
,632
,625
,624
,631
,637
,641
,640
,633
,629
,629
,626
,624
,623
,620
,613
,605
,599
,592
,588
,586
,580
,572
,565
,559
,555
,555
,553
,548
,540
,533
,527
,525
,522
,515
,510
,506
,501
,496
,492
,489
,485
,481
,476
,472
,465
,460
,456
,455
,451
,448
,444
,439
,436
,436
,434
,428
,427
,431
,428
,423
,417
,415
,412
,408
,401
,397
,392
,388
,383
,381
,378
,375
,379
,385
,385
,390
,401
,405
,404
,407
,404
,402
,401
,397
,394
,390
,385
,382
,377
,375
,371
,369
,367
,364
,361
,359
,357
,353
,350
,345
,341
,339
,335
,330
,327
,323
,321
,319
,318
,317
,313
,311
,309
,306
,302
,302
,302
,301
,302
,304
,304
,302
,299
,295
,292
,293
,297
,302
,308
,312
,310
,310
,309
,305
,302
,298
,294
,292
,289
,286
,283
,282
,281
,279
,275
,272
,269
,265
,263
,264
,264
,263
,263
,268
,268
,267
,267
,265
,262
,259
,257
,254
,251
,247
,247
,247
,251
,255
,256
,256
,254
,251
,249
,248
,248
,246
,245
,245
,243
,240
,238
,235
,232
,229
,227
,225
,221
,219
,217
,217
,215
,213
,212
,213
,214
,217
,217
,215
,215
,215
,215
,219
,226
,235
,247
,260
,269
,274
,276
,276
,272
,272
,274
,274
,272
,268
,268
,272
,278
,278
,276
,276
,277
,279
,280
,278
,278
,277
,276
,274
,270
,269
,268
,269
,267
,265
,262
,260
,256
,254
,253
,251
,250
,247
,245
,241
,239
,236
Window 5,
,89
,90
,90
,91
,90
,90
,89
,88
,88
,90
,92
,94
,95
,96
,97
,98
,99
,100
,101
,103
,103
,104
,104
,104
,103
,102
,102
,101
,100
,101
,100
,100
,101
,102
,102
,102
,103
,102
,101
,100
,99
,99
,99
,100
,100
,99
,99
,99
,98
,100
,102
,104
,105
,105
,104
,103
,104
,104
,105
,105
,104
,105
,104
,103
,102
,101
,100
,100
,99
,98
,97
,98
,99
,100
,102
,102
,103
,104
,104
,104
,104
,104
,104
,104
,104
,104
,104
,103
,104
,104
,103
,104
,103
,102
,101
,101
,100
,101
,101
,101
,101
,102
,101
,101
,101
,101
,101
,101
,101
,100
,99
,98
,98
,99
,100
,104
,107
,109
,112
,113
,116
,117
,118
,117
,116
,116
,116
,115
,115
,114
,115
,115
,116
,116
,116
,116
,115
,115
,115
,116
,116
,118
,118
,118
,117
,116
,117
,118
,120
,121
,121
,121
,120
,119
,119
,120
,120
,121
,122
,124
,123
,124
,125
,125
,126
,125
,126
,127
,129
,129
,131
,133
,135
,136
,134
,133
,134
,137
,145
,160
,177
,197
,216
,235
,246
,252
,257
,264
,269
,267
,266
,266
,266
,266
,265
,262
,259
,257
,255
,254
,259
,268
,280
,289
,291
,291
,291
,295
,300
,302
,299
,298
,307
,317
,323
,325
,324
,323
