Note,Value
Begin Recording - 15:15:1,
Window 1,
,238
,237
,236
,235
,235
,234
,234
,234
,233
,233
,232
,232
,232
,232
,232
,232
,232
,231
,230
,229
,228
,227
,227
,227
,226
,226
,225
,226
,227
,228
,230
,230
,230
,230
,229
,227
,225
,224
,224
,224
,223
,221
,221
,220
,219
,219
,218
,217
,216
,215
,214
,213
,213
,213
,213
,213
,213
,213
,214
,214
,214
,213
,212
,211
,210
,210
,208
,207
,206
,204
,203
,201
,201
,200
,200
,199
,198
,198
,198
,199
,199
,200
,202
,203
,204
,203
,202
,201
,200
,198
,196
,194
,193
,193
,194
,193
,194
,195
,196
,196
,196
,196
,196
,196
,195
,195
,193
,191
,189
,189
,189
,188
,187
,186
,186
,185
,183
,183
,182
,182
,182
,182
,181
,182
,183
,182
,181
,180
,179
,178
,178
,177
,176
,174
,172
,171
,170
,169
,168
,167
,167
,171
,174
,175
,174
,175
,179
,182
,183
,182
,180
,179
,177
,179
,182
,183
,185
,186
,185
,198
,231
,266
,300
,341
,374
,395
,403
,402
,398
,402
,403
,402
,401
,403
,410
,418
,416
,412
,414
,465
,542
,606
,643
,643
,643
,643
,643
,642
,642
,643
,643
,643
,643
,642
,643
,642
,642
,642
,642
,643
,642
,642
,642
,642
,643
,643
,643
,643
,643
,642
,642
,643
,642
,642
,643
,643
,642
,642
,643
,643
,643
,642
,643
,643
,643
,643
,642
,643
,643
,643
,643
,643
,643
,643
,643
,642
,643
,642
,643
,642
,642
,643
,643
,642
,643
,641
,637
,630
,624
,627
,623
,616
,615
,610
,607
,610
,607
,603
,600
,593
,590
,591
,597
,605
,611
,613
,609
,605
,602
,601
,603
,603
,595
,588
,582
,575
,572
,568
,562
,558
,555
,555
,558
,560
,556
,552
,552
,554
,554
,554
,554
,552
,545
,539
,534
,531
,527
,530
,541
,551
,548
,546
,556
,574
,586
,590
,592
,586
,579
,575
,572
,571
,567
,560
,554
,548
,542
,536
,529
,524
,517
,510
,504
,497
,491
,484
,479
,475
,472
,472
,482
,492
,495
,495
,490
,489
,495
,497
,495
,496
,493
,497
,499
,499
,494
,495
,501
,509
,515
,519
,520
,521
,518
,514
,520
,529
,539
,545
,548
,551
,549
,544
,538
,530
,523
,517
,511
,505
,500
,494
,488
,482
,476
,470
,464
,458
,452
,446
,440
,438
,434
,431
,427
,422
,417
,413
,408
,403
,399
,393
,388
,384
,378
,374
,370
,365
,362
,358
,353
,351
,347
,345
,342
,338
,334
,330
,326
,322
,317
,313
,309
,305
,302
,300
,298
,298
,295
,292
,289
,285
,282
,279
,278
,277
,276
,275
,273
,272
,269
,267
,264
,261
,258
,256
,254
,250
,247
,245
,242
,240
,238
,236
,233
,232
,231
,231
,230
,229
,226
,223
,221
,217
,217
,217
,217
,217
,217
,216
,215
,213
,211
,210
,208
,206
,203
,201
,199
,197
,195
,193
,191
,190
,186
,186
,184
,182
,180
,179
,178
,176
,174
,174
,172
,170
,168
,167
,165
,163
,163
,163
,163
,163
,164
,165
,167
,170
,172
,174
,175
,175
Window 2,
,223
,224
,224
,224
,225
,226
,228
,228
,230
,232
,233
,234
,235
,235
,234
,234
,234
,235
,236
,235
,233
,233
,232
,233
,233
,233
,234
,235
,236
,235
,235
,233
,234
,234
,234
,234
,234
,235
,236
,236
,236
,237
,236
,233
,234
,236
,237
,236
,234
,233
,236
,240
,246
,249
,251
,252
,252
,253
,253
,254
,256
,257
,258
,258
,259
,260
,260
,262
,263
,265
,267
,269
,274
,279
,283
,286
,288
,289
,289
,286
,283
,279
,277
,274
,271
,270
,268
,267
,266
,267
,269
,269
,271
,273
,273
,274
,275
,274
,274
,273
,271
,271
,270
,269
,269
,268
,267
,267
,265
,264
,262
,262
,262
,261
,261
,260
,260
,259
,260
,259
,259
,259
,260
,260
,261
,262
,263
,263
,264
,264
,264
,263
,262
,261
,259
,258
,257
,255
,254
,251
,249
,248
,247
,247
,248
,249
,251
,252
,253
,253
,251
,255
,262
,267
,272
,277
,280
,280
,277
,275
,275
,276
,279
,282
,286
,288
,291
,293
,295
,293
,296
,322
,376
,447
,510
,557
,586
,595
,598
,594
,587
,587
,595
,613
,628
,636
,640
,634
,627
,624
,621
,617
,615
,608
,602
,611
,643
,642
,643
,643
,642
,642
,643
,642
,642
,642
,642
,643
,643
,642
,643
,642
,642
,642
,643
,643
,643
,643
,643
,643
,643
,642
,643
,642
,643
,642
,642
,643
,642
,642
,643
,643
,643
,642
,643
,643
,642
,643
,643
,642
,642
,642
,642
,641
,643
,642
,642
,642
,642
,643
,637
,630
,622
,615
,609
,601
,596
,593
,593
,593
,593
,594
,593
,594
,597
,606
,620
,625
,626
,638
,636
,636
,642
,642
,637
,638
,643
,643
,643
,643
,642
,638
,630
,621
,614
,607
,601
,595
,589
,582
,574
,566
,558
,551
,546
,541
,537
,532
,526
,521
,515
,508
,501
,496
,490
,487
,486
,483
,478
,472
,467
,461
,458
,455
,451
,447
,442
,436
,431
,427
,421
,416
,411
,410
,411
,407
,406
