Note,Value
Begin Recording - 14:48:41,
Window 1,
,60
,60
,60
,60
,61
,61
,61
,61
,61
,60
,62
,61
,62
,61
,62
,62
,62
,62
,61
,61
,62
,62
,61
,61
,62
,62
,62
,62
,62
,62
,62
,61
,61
,62
,61
,61
,62
,62
,61
,62
,62
,62
,62
,62
,62
,62
,62
,62
,62
,62
,61
,62
,61
,61
,61
,61
,61
,61
,62
,61
,61
,61
,62
,62
,61
,62
,61
,62
,62
,62
,62
,62
,62
,62
,62
,62
,62
,62
,62
,61
,62
,61
,62
,61
,61
,61
,62
,61
,61
,61
,61
,61
,61
,61
,61
,61
,61
,60
,60
,60
,60
,60
,60
,60
,59
,59
,58
,58
,58
,58
,58
,59
,59
,58
,59
,58
,59
,59
,59
,59
,59
,60
,59
,59
,60
,59
,59
,59
,59
,58
,59
,59
,58
,58
,58
,59
,59
,58
,59
,59
,59
,59
,59
,59
,58
,58
,58
,57
,58
,58
,58
,58
,58
,58
,58
,58
,58
,59
,58
,58
,59
,58
,58
,58
,58
,59
,58
,59
,59
,58
,59
,58
,59
,58
,59
,59
,59
,59
,59
,59
,59
,59
,59
,59
,60
,59
,59
,59
,59
,59
,59
,59
,58
,58
,59
,59
,59
,59
,59
,59
,59
,59
,59
,59
,60
,59
,59
,59
,59
,59
,60
,60
,59
,60
,60
,60
,60
,60
,60
,60
,60
,60
,60
,60
,60
,60
,60
,60
,60
,60
,60
,60
,60
,60
,60
,60
,59
,59
,59
,59
,59
,58
,59
,59
,59
,59
,59
,59
,60
,59
,60
,59
,60
,60
,60
,60
,60
,60
,60
,60
,59
,60
,60
,60
,60
,60
,60
,61
,61
,61
,61
,61
,61
,60
,60
,60
,60
,59
,59
,59
,60
,60
,60
,60
,60
,61
,59
,60
,60
,60
,60
,60
,60
,60
,61
,60
,60
,61
,61
,60
,60
,61
,61
,61
,60
,60
,60
,60
,59
,60
,60
,59
,60
,60
,61
,60
,60
,61
,59
,59
,60
,60
,60
,60
,60
,61
,60
,61
,61
,61
,60
,62
,62
,61
,62
,62
,62
,63
,62
,62
,63
,63
,63
,63
,63
,62
,62
,63
,63
,63
,63
,64
,64
,64
,64
,64
,64
,64
,63
,64
,64
,63
,64
,64
,64
,64
,64
,65
,65
,65
,65
,65
,65
,65
,65
,65
,65
,65
,64
,65
,65
,65
,64
,64
,65
,64
,65
,64
,65
,64
,64
,64
,64
,64
,64
,64
,64
,64
,64
,64
,64
,64
,63
,63
,63
,64
,64
,64
,64
,64
,64
,64
,64
,64
,63
,63
,63
,63
,62
,63
,62
,63
,63
,63
,63
,63
,64
,64
,64
,64
,64
,64
,64
,64
,64
,64
,64
,64
,63
,64
,63
,63
,63
,63
,63
,63
,62
,62
,63
,63
,62
,62
,62
,62
,62
,62
,61
,62
,62
,62
,61
,61
,61
,61
,61
,62
,61
,61
,61
,61
,61
,61
,60
,60
,60
,61
,61
,61
,61
,60
,59
,60
,59
,60
,59
,60
,59
,59
,59
,59
,60
,59
,60
,59
,59
,59
,59
,59
,59
,59
Window 2,
,40
,40
,41
,41
,42
,46
,48
,50
,52
,54
,56
,56
,57
,58
,59
,60
,59
,60
,59
,59
,59
,59
,59
,58
,58
,58
,57
,57
,57
,57
,58
,60
,62
,63
,63
,63
,64
,67
,68
,69
,71
,71
,71
,78
,90
,108
,121
,122
,134
,152
,167
,179
,184
,191
,197
,203
,210
,216
,216
,219
,222
,222
,221
,220
,221
,223
,226
,231
,233
,234
,233
,247
,266
,277
,282
,281
,282
,304
,337
,360
,371
,368
,365
,360
,357
,355
,357
,356
,353
,350
,346
,347
,348
,349
,352
,353
,351
,353
,360
,365
,368
,371
,371
,367
,363
,362
,363
,361
,356
,352
,350
,350
,349
,344
,342
,346
,345
,350
,358
,367
,377
,379
,375
,373
,374
,371
,375
,379
,375
,375
,380
,383
,382
,393
,411
,424
,426
,427
,422
,422
,425
,422
,418
,419
,425
,433
,438
,439
,435
,437
,441
,445
,442
,436
,430
,424
,420
,417
,412
,409
,409
,411
,412
,409
,404
,400
,401
,405
,405
,403
,398
,394
,397
,405
,405
,400
,397
,396
,393
,388
,388
,386
,386
,384
,381
,378
,377
,374
,370
,368
,368
,368
,365
,362
,360
,360
,360
,359
,355
,350
,351
,354
,353
,353
,351
,347
,345
,342
,340
,338
,339
,335
,331
,327
,326
,328
,325
,325
,326
,327
,326
,326
,331
,328
,329
,329
,327
,327
,326
,322
,318
,315
,317
,318
,319
,322
,325
,326
,324
,321
,317
,314
,310
,309
,312
,310
,307
,306
,302
,300
,300
,303
,303
,299
,296
,294
,295
,293
,291
,288
,284
,281
,282
,281
,286
,285
,281
,281
,281
,281
,280
,281
,280
,277
,275
,280
,280
,280
,282
,287
,296
,301
,299
,303
,306
,312
,316
,313
,309
,310
,312
,312
,308
,305
,306
,303
,300
,298
,297
,298
,305
,306
,306
,309
,313
,315
,313
,310
,309
,309
,308
,315
,317
,316
,316
,312
,308
,305
,303
,299
,296
,291
,291
,295
,300
,302
,303
,302
,300
,298
,299
,299
,297
,297
,298
,296
,294
,292
,289
,287
,285
,289
,299
,306
,307
,306
,307
,310
,308
,304
,301
,300
,302
,308
,311
,312
,319
,320
,316
,315
,316
,318
,317
,318
,317
,322
,323
,320
,319
,319
,319
,317
,313
,309
,308
,315
,318
,314
,313
,311
,312
,315
,318
,324
,332
,332
,330
,334
,334
,329
,326
,325
,324
,320
,320
,317
,314
,315
,318
,317
,314
,311
,308
,304
,302
,305
,304
,306
,312
,317
,315
,313
,312
,314
,311
,308
,307
,308
,311
,309
,306
,302
,299
,300
,302
,300
,297
,294
,293
,292
,290
,286
,282
,285
,295
,302
,305
,310
,312
,310
,310
,309
,311
,312
,316
,318
,318
,322
,327
,326
,323
,322
,328
,333
,338
,336
,333
,337
,339
,340
,339
,336
,335
,336
,344
,356
,362
,360
,362
,365
,365
,364
,363
,362
,360
,356
,354
,350
,347
,342
,339
,336
,333
,331
,329
,331
,332
,329
,325
,321
,318
,317
,315
,312
,312
,312
,309
,306
,312
,319
Window 3,
,58
,58
,59
,59
,61
,61
,63
,64
,64
,64
,64
,68
,73
,74
,75
,74
,74
,76
,75
,76
,78
,82
,82
,83
,84
,84
,87
,90
,92
,92
,93
,92
,94
,102
,106
,107
,107
,108
,110
,112
,112
,113
,114
,114
,114
,115
,114
,118
,119
,120
,119
,117
,117
,116
,120
,122
,125
,129
,137
,143
,149
,155
,159
,160
,158
,157
,155
,157
,161
,162
,162
,164
,167
,166
,164
,164
,164
,162
,163
,162
,164
,168
,168
,167
,167
,167
,167
,170
,176
,182
,184
,184
,182
,182
,181
,179
,179
,183
,186
,185
,186
,192
,200
,211
,217
,219
,222
,223
,221
,220
,225
,230
,229
,226
,225
,224
,225
,223
,220
,219
,223
,232
,239
,245
,249
,250
,262
,275
,289
,300
,299
,296
,292
,291
,289
,287
,289
,291
,289
,290
,291
,292
,296
,305
,313
,318
,318
,316
,315
,313
,312
,311
,308
,307
,306
,309
,317
,321
,322
,322
,321
,320
,319
,318
,318
,318
,315
,313
,314
,315
,311
,308
,307
,306
,312
,313
,310
,308
,305
,301
,303
,307
,311
,308
,304
,301
,304
,306
,306
,302
,302
,301
,299
,299
,297
,299
,300
,297
,293
,290
,286
,283
,280
,277
,274
,274
,273
,273
,271
,269
,271
,277
,284
,292
,300
,299
,300
,298
,296
,293
,291
,292
,291
,288
,285
,281
,278
,276
,277
,276
,274
,270
,268
,266
,266
,262
,262
,260
,261
,264
,267
,266
,265
,266
,263
,262
,263
,267
,268
,264
,266
,271
,272
,271
,270
,269
,266
,267
,267
,266
,270
,271
,269
,270
,271
,270
,269
,266
,263
,262
,262
,260
,257
,259
,262
,260
,258
,256
,262
,269
,270
,269
,267
,266
,271
,270
,271
,270
,267
,264
,261
,258
,257
,255
,254
,255
,257
,255
,253
,255
,258
,261
,259
,257
,259
,259
,258
,258
,256
,253
,251
,250
,252
,257
,263
,269
,268
,272
,279
,277
,278
,278
,276
,274
,275
,274
,273
,271
,269
,266
,264
,265
,268
,267
,264
,263
,263
,262
,260
,263
,268
,271
,270
,269
,268
,272
,278
,285
,291
,292
,296
,302
,301
,310
,322
,331
,332
,329
,335
,344
,347
,349
,346
,342
,340
,339
,338
,334
,330
,329
,329
,329
,325
,323
,326
,327
,327
,323
,319
,316
,313
,310
,307
,303
,300
,297
,293
,292
,289
,288
,286
,290
,303
,316
,320
,323
,319
,318
,318
,318
,316
,313
,309
,308
,305
,302
,304
,306
,304
,304
,303
,302
,301
,302
,300
,300
,310
,318
,323
,322
,319
,318
,316
,311
,308
,304
,301
,297
,296
,292
,290
,288
,289
,291
,289
,288
,287
,283
,280
,276
,274
,272
,270
,270
,270
,272
,276
,281
,282
,280
,277
,274
,271
,271
,272
,275
,276
,274
,277
,281
,281
,278
,276
,273
,271
,276
,276
,277
,278
,276
,276
,282
,286
,289
,290
,287
,287
,289
,288
,285
,283
,283
,280
,278
,277
,277
,276
,274
,275
,273
,269
,267
,265
,263
,260
,260
,258
,256
,253
,253
Window 4,
,146
,147
,147
,147
