Note,Value
Begin Recording - 15:41:4,
Window 1,
,42
,42
,42
,41
,42
,41
,42
,41
,41
,42
,42
,41
,42
,42
,41
,42
,41
,42
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,42
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,40
,41
,41
,41
,41
,41
,41
,41
,40
,41
,41
,41
,41
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,41
,40
,40
,40
,40
,40
,40
,41
,40
,40
,40
,40
,40
,40
,40
,39
,39
,41
,41
,40
,41
,41
,40
,41
,40
,41
,39
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,42
,41
,41
,41
,42
,42
,42
,42
,41
,41
,42
,42
,42
,41
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,41
,41
,42
,42
,42
,42
,41
,42
,42
,42
,42
,43
,41
,42
,42
,42
,42
,42
,43
,42
,42
,42
,42
,42
,42
,41
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,43
,41
,42
,42
,42
,43
,42
,42
,43
,43
,43
,42
,42
,43
,43
,42
,43
,42
,43
,42
,43
,42
,42
,42
,42
,42
,43
,42
,43
,42
,42
,42
,42
,41
,43
,43
,42
,42
,43
,41
,42
,42
,42
,42
,42
,42
,42
,42
,42
,41
,42
,42
,42
,41
,42
,42
,42
,42
,42
,41
,42
,41
,42
,42
,42
,42
,42
,42
,42
,42
,42
,41
,42
,42
,41
,41
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,41
,42
,42
,42
,42
,41
,42
,41
,41
,41
,41
,42
,42
,41
,42
,42
,42
,42
,42
,42
,42
,41
,42
,42
,42
,41
,42
,41
,41
,42
,42
,42
,42
,41
,41
,42
,42
,42
,42
,42
,41
,42
,42
,42
,41
,42
,42
,42
,42
,42
,42
,41
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,41
,42
,42
,41
,41
,41
,41
,42
,41
,41
,42
,42
,41
,42
,42
,42
,41
,42
,42
,42
,42
,42
,42
,42
,41
,41
,41
,42
,42
,42
,41
,42
,42
,42
,42
,42
,42
,42
,41
,42
,42
,42
,42
,42
,42
,42
,42
,42
,43
,42
,42
,43
,42
,42
,43
,42
,43
,42
,42
,42
,42
,42
,41
,41
,41
,42
,42
,42
,43
,42
,42
,42
,42
,43
,42
,41
,42
,42
,42
,43
,43
,42
,42
,43
,43
,43
,43
,43
,43
,42
,43
,43
,43
,43
,43
,43
,44
,43
,43
,44
,43
,43
,43
,44
,43
,43
,43
,43
,43
,44
,44
,43
,43
,43
,43
,43
,44
,43
,43
,43
,44
,44
,44
,44
,44
,44
,45
,44
,44
,44
,45
,44
,45
,44
,44
,44
,44
,43
,44
,44
,44
,44
,44
,44
,44
,44
,44
,44
,44
,44
,43
,44
Window 2,
,40
,40
,40
,40
,39
,40
,39
,39
,39
,39
,40
,40
,40
,40
,40
,39
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,39
,39
,40
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,40
,39
,39
,39
,39
,40
,39
,39
,40
,40
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,40
,38
,39
,39
,39
,39
,39
,38
,39
,39
,39
,39
,38
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,40
,40
,40
,39
,40
,39
,39
,40
,39
,40
,39
,40
,40
,40
,39
,40
,39
,39
,39
,39
,39
,40
,39
,39
,39
,39
,39
,39
,39
,40
,40
,40
,40
,40
,40
,40
,41
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,41
,40
,41
,40
,40
,41
,40
,40
,41
,41
,41
,40
,41
,41
,41
,41
,40
,41
,40
,41
,40
,40
,40
,40
,40
,41
,40
,41
,40
,41
,41
,41
,40
,41
,41
,40
,40
,40
,40
,40
,40
,40
,41
,40
,40
,41
,41
,41
,40
,41
,41
,41
,41
,41
,41
,41
,41
,40
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,40
,40
,41
,41
,41
,41
,40
,41
,41
,41
,41
,41
,41
,40
,40
,41
,41
,41
,41
,41
,40
,41
,40
,40
,41
,40
,40
,41
,40
,40
,41
,41
,41
,41
,40
,40
,41
,40
,40
,41
,40
,40
,40
,40
,40
,40
,40
,40
,40
,39
,39
,40
,39
,39
,40
,39
,40
,39
,39
,40
,39
,39
,39
,39
,40
,40
,39
,39
,39
,39
,40
,40
,39
,40
,40
,39
,40
,40
,39
,40
,40
,40
,39
,39
,40
,40
,39
,39
,40
,40
,39
,40
,40
,39
,40
,40
,40
,40
,39
,39
,40
,40
,40
,40
,41
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,41
,40
,41
,40
,40
,41
,41
,41
,40
,41
,40
,40
,40
,40
,40
,40
,41
,40
,40
,41
,40
,41
,40
,40
,40
,40
,40
,40
,41
,40
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,42
,42
,42
,42
,41
,41
,41
,42
,42
,42
,42
,41
,42
,41
,41
,42
,41
,41
,42
,41
,41
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,41
,42
,41
,42
,41
,41
,41
,41
,42
,42
,42
,42
,41
,42
,41
,42
,41
,41
,42
,41
,42
,42
,42
,42
,42
,42
,41
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,41
,42
,42
,42
,41
,42
,42
,42
,42
,42
,41
,42
,41
,42
,42
,42
,41
,42
,42
,41
,42
,42
,42
,42
,42
,41
Window 3,
,39
,39
,38
,39
,39
,39
,38
,38
,39
,38
,38
,39
,38
,38
,38
,38
,39
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,39
,38
,38
,38
,39
,38
,39
,39
,39
,38
,38
,38
,39
,39
,39
,39
,39
,39
,39
,39
,39
,38
,39
,39
,38
,39
,39
,39
,39
,38
,39
,39
,39
,39
,39
,39
,39
,38
,39
,38
,38
,39
,39
,39
,38
,38
,39
,38
,39
,39
,38
,39
,39
,39
,39
,39
,38
,39
,39
,39
,40
,40
,39
,39
,39
,39
,39
,39
,39
,40
,39
,39
,39
,39
,40
,39
,39
,39
,40
,39
,39
,39
,39
,40
,40
,39
,39
,39
,40
,39
,39
,39
,40
,39
,40
,40
,39
,40
,39
,39
,39
,39
,39
,39
,38
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,40
,40
,39
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,41
,40
,40
,40
,40
,41
,40
,40
,40
,40
,40
,40
,40
,40
,41
,40
,40
,40
,40
,40
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,40
,41
,41
,41
,42
,41
,41
,41
,40
,41
,41
,41
,41
,41
,40
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,42
,41
,41
,41
,41
,41
,41
,41
,41
,42
,42
,41
,42
,42
,42
,41
,41
,42
,42
,41
,42
,41
,42
,41
,41
,42
,42
,42
,40
,42
,42
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,40
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,40
,41
,40
,41
,41
,41
,40
,41
,41
,40
,40
,41
,41
,41
,41
,40
,40
,41
,41
,41
,41
,41
,41
,40
,40
,41
,40
,41
,40
,41
,40
,41
,40
,41
,41
,41
,40
,40
,41
,41
,41
,41
,41
,40
,41
,41
,40
,41
,41
,41
,41
,41
,41
,41
,40
,41
,41
,41
,41
,40
,41
,41
,41
,41
,40
,40
,41
,41
,41
,41
,41
,41
,41
,41
,41
,40
,41
,40
,41
,41
,41
,41
,40
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,42
,41
,41
,42
,41
,41
,42
,42
,42
,42
,41
,42
,42
,41
,42
,42
,42
,42
,41
,41
,42
,42
,42
,42
,41
,42
,42
,41
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,43
,43
,42
,42
,42
,43
,42
,42
,43
,43
,42
,42
,42
,42
,43
,43
,42
,43
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,41
,41
,42
,42
,41
,42
,42
,42
,42
,41
,42
,41
,42
,42
,41
,41
,42
,42
,41
,41
,41
,42
,42
,42
,43
,42
,41
,42
,42
,42
,42
,42
,42
,41
,42
,41
,42
,42
,42
,42
,43
,43
,43
,43
,42
,42
,42
Window 4,
,37
,37
,37
,37
,37
,37
,37
,37
,37
,37
,37
,37
,37
,37
,36
,36
,36
,37
,36
,36
,36
,37
,37
,37
,37
,37
,37
,36
,37
,36
,36
,36
,36
,37
,37
,37
,37
,36
,36
,36
,37
,36
,36
,36
,36
,36
,36
,36
,37
,36
,36
,35
,36
,36
,36
,36
,36
,35
,35
,36
,36
,35
,35
,36
,36
,36
,36
,36
,36
,37
,37
,36
,36
,36
,37
,36
,37
,36
,36
,37
,36
,37
,36
,36
,36
,36
,35
,35
,36
,37
,37
,37
,36
,36
,37
,37
,37
,37
,37
,37
,36
,37
,36
,36
,36
,37
,37
,37
,37
,37
,37
,37
,37
,37
,38
,38
,38
,36
,38
,38
,37
,38
,37
,37
,38
,37
,38
,38
,38
,36
,38
,38
,38
,37
,38
,38
,37
,38
,38
,37
,38
,38
,38
,37
,38
,37
,37
,38
,38
,38
,38
,38
,37
,37
,38
,38
,38
,38
,38
,38
,38
,39
,39
,38
,38
,38
,38
,38
,38
,39
,38
,38
,38
,39
,39
,40
,39
,39
,39
,39
,40
,39
,39
,39
,39
,39
,39
,39
,38
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,42
,41
,42
,42
,42
,41
,41
,42
,41
,42
,42
,42
,42
,42
,42
,42
,42
,42
,43
,43
,43
,43
,42
,42
,43
,42
,43
,42
,42
,43
,43
,43
,43
,43
,43
,43
,43
,42
,42
,43
,43
,43
,43
,43
,43
,43
,43
,43
,43
,43
,43
,43
,43
,44
,43
,42
,42
,43
,43
,43
,43
,43
,43
,43
,43
,42
,43
,43
,42
,43
,42
,43
,43
,43
,43
,43
,43
,43
,43
,43
,42
,42
,43
,42
,43
,42
,43
,42
,42
,42
,42
,42
,42
,43
,43
,43
,43
,43
,42
,42
,42
,42
,43
,43
,42
,43
,43
,43
,42
,43
,43
,43
,43
,43
,43
,43
,42
,43
,44
,43
,43
,43
,43
,42
,43
,43
,42
,42
,42
,42
,42
,42
,43
,41
,42
,42
,42
,42
,43
,42
,43
,43
,43
,42
,43
,42
,42
,42
,43
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,41
,42
,42
,42
,42
,42
,42
,41
,41
,42
,42
,42
,41
,42
,41
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,43
,42
,43
,42
,41
,42
,41
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,42
,43
,42
,43
,42
,42
,42
,43
,42
,43
,43
,42
,42
,42
,42
,42
,42
,43
,42
,42
,42
,43
,42
,43
,43
,42
,43
,43
,43
,43
,43
,42
,43
,43
,43
,43
,43
,43
,43
,43
,42
,42
,42
,43
,43
,43
,43
,42
,43
,42
,43
,43
,43
,42
,43
,43
,43
,43
,43
,43
,43
,43
,43
,43
,43
,43
Window 5,
,38
,38
,38
,38
,38
,37
,38
,38
,38
,38
,39
,38
,38
,38
,38
,38
,37
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,37
,38
,38
,37
,38
,38
,38
,37
,38
,38
,38
,38
,37
,37
,38
,37
,38
,37
,37
,37
,38
,37
,37
,38
,38
,37
,37
,37
,38
,38
,38
,38
,38
,38
,39
,38
,39
,38
,39
,39
,38
,39
,39
,39
,38
,39
,38
,39
,39
,38
,39
,39
,38
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,38
,39
,39
,39
,38
,38
,39
,39
,39
,38
,39
,39
,39
,39
,40
,39
,39
,39
,39
,39
,39
,39
,40
,39
,39
,39
,39
,40
,39
,39
,39
,39
,39
,40
,39
,39
,39
,39
,39
,39
,39
,39
,39
,38
,39
,39
,38
,39
,39
,39
,39
,40
,39
,39
,39
,39
,39
,38
,39
,39
,39
,39
,39
,39
,39
,39
,40
,40
,39
,39
,39
,40
,40
,40
,40
,41
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,41
,40
,40
,41
,40
,40
,40
,40
,41
,40
,41
,41
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,41
,41
,40
,41
,41
,41
,41
,41
,40
,40
,41
,41
,41
,40
,40
,40
,40
,41
,41
,41
,40
,41
,41
,40
,40
,41
,41
,41
,41
,41
,40
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,42
,40
,41
,41
,42
,42
,42
,42
,42
,41
,42
,42
,41
,41
,41
,42
,41
,41
,42
,42
,42
,41
,41
,41
,42
,41
,41
,41
,41
,42
,41
,41
,41
,41
,41
,41
,42
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,40
,40
,42
,41
,41
,41
,40
,40
,40
,41
,40
,41
,40
,41
,41
,40
,41
,41
,41
,41
,41
,41
,41
,40
,41
,41
,40
,40
,40
,41
,40
,41
,41
,40
,41
,41
,40
,41
,41
,41
,41
,40
,41
,41
,41
,41
,40
,41
,41
,40
,40
,40
,40
,40
,40
,41
,40
,40
,40
,40
,40
,40
,40
,41
,40
,40
,40
,40
,41
,39
,40
,40
,41
,40
,40
,40
,39
,40
,40
,40
,39
,40
,40
,40
,39
,40
,40
,40
,40
,40
,39
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,41
,41
,40
,40
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,40
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,42
,41
,41
,42
,42
,42
,42
,42
,41
,42
,41
,41
,42
,42
,41
,41
,42
,42
,42
,41
,42
,42
,41
,42
,42
,41
,42
,42
,42
,41
,42
,42
,42
,41
,41
,42
,42
,41
,41
,41
,42
,42
,42
,42
,42
,42
,42
Window 6,
,39
,39
,39
,39
,39
,39
,39
,40
,39
,39
,38
,39
,39
,39
,38
,39
,38
,39
,38
,39
,38
,39
,38
,38
,38
,38
,37
,37
,38
,38
,38
,38
,38
,37
,37
,38
,38
,37
,38
,37
,38
,37
,37
,37
,37
,38
,37
,38
,38
,38
,37
,38
,37
,38
,37
,37
,37
,37
,37
,38
,38
,37
,38
,37
,37
,37
,37
,37
,37
,37
,37
,38
,38
,37
,37
,37
,37
,37
,37
,37
,37
,36
,37
,37
,38
,37
,37
,37
,37
,37
,37
,37
,36
,37
,37
,37
,37
,37
,37
,37
,36
,37
,37
,37
,38
,37
,38
,37
,37
,37
,38
,38
,37
,38
,37
,38
,38
,38
,37
,38
,38
,37
,38
,38
,37
,37
,37
,38
,37
,38
,37
,38
,37
,38
,37
,38
,38
,37
,37
,37
,37
,36
,37
,37
,36
,38
,37
,37
,37
,37
,37
,37
,37
,37
,37
,37
,37
,36
,37
,37
,37
,37
,37
,37
,37
,36
,37
,37
,37
,37
,37
,37
,37
,37
,37
,37
,37
,38
,37
,38
,37
,38
,38
,38
,37
,38
,38
,37
,38
,37
,39
,38
,38
,39
,37
,38
,38
,38
,37
,38
,38
,38
,38
,38
,39
,39
,38
,38
,38
,39
,39
,39
,40
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,40
,39
,40
,39
,39
,40
,40
,40
,40
,40
,40
,41
,40
,41
,40
,40
,40
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,40
,40
,41
,41
,41
,41
,41
,41
,42
,42
,42
,41
,41
,41
,41
,41
,41
,41
,41
,42
,41
,41
,41
,41
,42
,42
,42
,41
,42
,41
,41
,41
,42
,41
,41
,41
,42
,42
,42
,42
,41
,41
,42
,42
,41
,40
,41
,42
,42
,41
,41
,41
