Note,Value
Begin Recording - 16:28:48,
Window 1,
,53
,54
,53
,53
,52
,53
,53
,53
,53
,54
,54
,54
,55
,54
,53
,54
,54
,54
,54
,56
,56
,56
,56
,56
,56
,56
,56
,57
,58
,57
,58
,57
,57
,57
,56
,56
,56
,55
,55
,55
,56
,56
,56
,57
,57
,57
,58
,57
,57
,57
,57
,57
,57
,57
,56
,56
,56
,55
,55
,56
,56
,56
,56
,56
,56
,57
,57
,56
,56
,55
,56
,56
,54
,55
,55
,55
,55
,55
,55
,55
,55
,55
,55
,55
,55
,55
,54
,54
,55
,54
,55
,55
,55
,54
,54
,54
,55
,55
,55
,55
,55
,55
,55
,55
,55
,54
,54
,54
,55
,54
,54
,54
,55
,55
,54
,55
,55
,55
,56
,56
,56
,55
,55
,55
,54
,55
,55
,55
,55
,55
,56
,56
,56
,56
,56
,57
,57
,57
,57
,57
,57
,57
,56
,56
,56
,56
,56
,56
,56
,55
,55
,55
,56
,57
,57
,57
,58
,58
,57
,57
,57
,56
,56
,56
,56
,56
,55
,56
,56
,56
,56
,57
,57
,57
,56
,56
,56
,55
,56
,55
,55
,55
,55
,54
,54
,54
,54
,55
,55
,55
,55
,55
,55
,54
,55
,54
,54
,54
,54
,53
,53
,53
,54
,54
,54
,54
,54
,55
,55
,55
,55
,54
,54
,54
,53
,53
,54
,54
,54
,54
,54
,54
,54
,55
,55
,54
,54
,55
,55
,55
,54
,54
,54
,54
,54
,54
,53
,53
,52
,52
,53
,52
,52
,52
,53
,54
,55
,55
,57
,56
,55
,56
,57
,60
,64
,68
,75
,81
,87
,93
,97
,99
,101
,105
,109
,113
,118
,124
,131
,140
,149
,158
,163
,170
,176
,186
,199
,212
,226
,239
,250
,258
,266
,274
,283
,288
,291
,288
,288
,289
,292
,302
,310
,316
,318
,315
,313
,315
,322
,331
,345
,361
,374
,385
,392
,396
,393
,391
,390
,388
,387
,389
,389
,386
,382
,379
,374
,370
,369
,368
,363
,363
,364
,366
,369
,374
,376
,375
,371
,366
,361
,357
,354
,352
,350
,346
,343
,340
,336
,335
,333
,330
,334
,338
,342
,348
,356
,360
,358
,354
,349
,348
,349
,347
,344
,340
,338
,335
,332
,329
,326
,325
,322
,320
,320
,318
,315
,314
,310
,307
,308
,310
,309
,313
,317
,316
,313
,316
,317
,314
,312
,310
,309
,306
,307
,308
,307
,305
,302
,298
,294
,292
,290
,288
,286
,284
,281
,278
,276
,280
,281
,283
,284
,280
,279
,278
,277
,274
,271
,270
,269
,267
,266
,264
,266
,268
,266
,266
,271
,273
,273
,271
,270
,268
,269
,271
,271
,269
,268
,269
,267
,264
,264
,264
,261
,261
,259
,257
,255
,255
,253
,250
,248
,246
,242
,239
,240
,241
,242
,241
,238
,237
,234
,231
,229
,227
,226
,223
,221
,219
,217
,215
,214
,212
,211
,211
,208
,207
,205
,206
,205
,203
,205
,208
,211
,213
,211
,212
,212
,211
,209
,208
,207
,205
,203
,202
,202
,199
,198
,197
,198
,196
,196
,195
,195
,195
,194
,191
,190
,189
Window 2,
,54
,55
,55
,56
,56
,56
,57
,57
,57
,56
,57
,56
,57
,58
,57
,57
,57
,57
,59
,59
,58
,59
,60
,59
,59
,59
,60
,60
,59
,59
,59
,58
,57
,57
,57
,58
,59
,57
,56
,56
,56
,57
,56
,56
,56
,56
,55
,56
,55
,55
,55
,54
,54
,54
,54
,55
,55
,56
,55
,55
,56
,56
,55
,55
,55
,55
,55
,55
,55
,54
,54
,54
,54
,55
,54
,54
,54
,54
,55
,55
,55
,54
,54
,54
,54
,54
,54
,54
,54
,54
,55
,55
,56
,56
,56
,56
,56
,55
,55
,55
,54
,55
,55
,54
,54
,55
,54
,54
,54
,54
,54
,54
,55
,55
,55
,55
,55
,55
,54
,54
,54
,53
,54
,54
,53
,53
,53
,53
,53
,54
,53
,54
,54
,55
,54
,54
,53
,53
,53
,53
,53
,53
,53
,54
,54
,55
,55
,55
,55
,54
,55
,55
,55
,54
,54
,54
,54
,54
,54
,54
,54
,54
,53
,54
,54
,55
,55
,54
,54
,53
,53
,54
,53
,54
,53
,53
,53
,53
,54
,54
,53
,53
,53
,54
,54
,53
,54
,54
,54
,54
,53
,54
,53
,54
,54
,53
,53
,53
,53
,54
,54
,55
,54
,56
,55
,55
,54
,54
,54
,55
,54
,54
,54
,54
,54
,54
,55
,55
,55
,55
,56
,54
,54
,54
,55
,54
,54
,54
,54
,54
,53
,54
,53
,53
,53
,53
,54
,53
,54
,54
,54
,53
,53
,53
,53
,53
,53
,53
,53
,53
,53
,53
,52
,52
,52
,53
,53
,54
,54
,53
,54
,53
,53
,53
,53
,52
,53
,53
,53
,53
,52
,52
,52
,53
,53
,53
,53
,53
,52
,52
,52
,52
,53
,53
,53
,53
,53
,53
,53
,54
,54
,54
,54
,53
,55
,58
,63
,67
,73
,78
,83
,87
,90
,90
,90
,90
,89
,89
,89
,89
,94
,104
,116
,126
,138
,150
,160
,168
,172
,175
,177
,180
,181
,185
,192
,197
,200
,198
,199
,201
,204
,206
,204
,203
,209
,223
,240
,260
,282
,303
,318
,327
,331
,326
,325
,325
,322
,319
,321
,331
,346
,356
,360
,356
,357
,362
,372
,381
,386
,389
,391
,387
,384
,382
,379
,376
,372
,368
,367
,365
,365
,367
,377
,395
,416
,438
,455
,458
,454
,454
,451
,447
,442
,439
,436
,430
,426
,423
,418
,413
,412
,413
,413
,412
,409
,404
,405
,422
,437
,442
,438
,437
,446
,452
,450
,445
,443
,447
,456
,462
,461
,457
,452
,447
,444
,439
,434
,430
,429
,430
,430
,427
,427
,425
,421
,416
,414
,412
,407
,404
,400
,398
,396
,394
,391
,389
,385
,383
,385
,390
,392
,392
,388
,383
,380
,375
,371
,366
,361
,357
,353
,354
,355
,352
,350
,348
,346
,344
,345
,343
,341
,339
,335
,333
,329
,330
,335
,339
,340
,338
,337
,339
,338
,336
,333
,331
,330
,329
,327
,323
,320
,319
,322
,327
,330
,328
,329
,330
,332
,330
,327
,327
,329
,327
,324
,321
,320
,316
,314
,312
Window 3,
,53
,54
,53
,55
,55
,54
,54
,55
,55
,55
,55
,54
,54
,54
,54
,54
,54
,54
,54
,55
,55
,55
,55
,54
,54
,54
,54
,54
,55
,55
,55
,55
,55
,55
,55
,56
,56
,56
,56
,56
,57
,56
,56
,55
,56
,55
,56
,57
,57
,56
,56
,57
,57
,57
,58
,58
,58
,58
,58
,57
,57
,56
,56
,57
,57
,57
,57
,57
,57
,57
,56
,56
,57
,56
,57
,57
,56
,56
,57
,57
,56
,56
,56
,56
,55
