Note,Value
Begin Recording - 16:26:47,
Window 1,
,52
,52
,52
,52
,52
,52
,52
,53
,53
,52
,53
,53
,53
,53
,53
,53
,53
,52
,52
,52
,52
,52
,52
,52
,52
,52
,52
,52
,52
,52
,52
,51
,52
,52
,52
,51
,51
,51
,51
,51
,51
,52
,53
,53
,53
,53
,53
,53
,54
,54
,53
,53
,53
,53
,53
,53
,54
,53
,53
,53
,53
,54
,53
,53
,53
,53
,54
,53
,53
,53
,54
,53
,53
,52
,53
,52
,52
,52
,52
,52
,52
,52
,51
,51
,51
,52
,52
,52
,51
,51
,51
,51
,51
,52
,52
,52
,52
,52
,51
,52
,52
,52
,52
,52
,52
,52
,52
,51
,51
,52
,51
,51
,51
,51
,51
,51
,51
,51
,51
,51
,52
,52
,52
,52
,52
,52
,52
,52
,52
,52
,52
,53
,53
,53
,53
,54
,53
,54
,54
,55
,54
,54
,55
,55
,54
,54
,54
,54
,54
,54
,54
,54
,53
,54
,53
,53
,53
,54
,53
,54
,53
,54
,54
,53
,53
,54
,54
,55
,54
,54
,54
,54
,54
,54
,55
,54
,55
,55
,56
,55
,55
,54
,55
,56
,56
,56
,55
,56
,56
,56
,56
,56
,56
,56
,56
,56
,56
,55
,56
,56
,54
,55
,56
,55
,55
,55
,55
,55
,54
,54
,55
,54
,55
,55
,55
,54
,53
,54
,53
,53
,53
,53
,53
,53
,53
,53
,53
,53
,53
,54
,54
,54
,54
,53
,53
,53
,53
,53
,53
,54
,53
,53
,52
,53
,52
,52
,53
,53
,53
,53
,53
,53
,52
,52
,52
,52
,53
,53
,52
,53
,52
,52
,52
,52
,51
,51
,52
,52
,52
,52
,52
,51
,52
,52
,52
,52
,52
,51
,51
,51
,52
,52
,52
,52
,52
,52
,51
,51
,51
,51
,52
,52
,51
,51
,51
,52
,51
,51
,51
,51
,52
,52
,52
,52
,51
,51
,51
,51
,51
,51
,50
,51
,51
,51
,51
,51
,51
,51
,51
,51
,51
,51
,51
,51
,51
,50
,51
,51
,51
,51
,51
,51
,51
,51
,51
,51
,52
,52
,52
,52
,52
,53
,52
,53
,53
,53
,52
,52
,52
,52
,52
,52
,52
,52
,52
,53
,53
,53
,53
,53
,52
,52
,52
,52
,52
,52
,52
,52
,51
,51
,51
,51
,52
,52
,52
,52
,52
,51
,51
,51
,51
,51
,51
,52
,51
,51
,51
,51
,51
,51
,51
,51
,52
,51
,51
,52
,52
,52
,52
,51
,51
,51
,51
,51
,51
,51
,51
,51
,52
,52
,52
,53
,52
,53
,52
,52
,52
,52
,52
,52
,52
,52
,52
,52
,52
,53
,53
,53
,52
,53
,53
,52
,52
,52
,52
,52
,52
,52
,52
,52
,51
,52
,52
,52
,52
,52
,53
,53
,52
,52
,52
,51
,51
,51
,51
,51
,50
,51
,50
,51
,50
,51
,51
,51
,51
,52
,51
,51
,51
,51
,52
,52
,52
,52
,51
,52
,52
,52
,51
,51
,51
,51
,50
,50
,51
,50
,50
,50
,50
,50
,49
,49
,49
,49
,49
,49
,50
,49
,49
,50
Window 2,
,60
,61
,61
,61
,62
,61
,61
,61
,60
,60
,59
,59
,59
,59
,59
,59
,60
,60
,60
,61
,61
,61
,61
,61
,61
,61
,61
,60
,60
,60
,59
,60
,60
,59
,59
,59
,59
,60
,62
,62
,62
,62
,61
,61
,60
,60
,61
,60
,59
,59
,60
,60
,59
,60
,60
,61
,61
,61
,62
,62
,61
,61
,60
,60
,60
,60
,60
,60
,60
,61
,61
,61
,62
,62
,63
,63
,63
,63
,62
,61
,61
,62
,62
,61
,61
,61
,61
,61
,62
,62
,62
,61
,61
,63
,63
,62
,63
,64
,64
,64
,64
,64
,64
,63
,64
,64
,64
,65
,64
,65
,66
,66
,66
,66
,65
,65
,64
,65
,64
,63
,63
,64
,63
,64
,64
,64
