Note,Value
Begin Recording - 16:24:23,
Window 1,
,631
,631
,631
,632
,631
,632
,631
,631
,631
,631
,632
,632
,631
,631
,631
,632
,631
,631
,631
,631
,631
,631
,632
,631
,631
,631
,631
,631
,631
,631
,632
,632
,631
,631
,632
,631
,631
,631
,631
,632
,632
,631
,632
,631
,632
,632
,632
,631
,632
,631
,632
,631
,632
,631
,631
,631
,632
,632
,632
,631
,631
,632
,632
,631
,632
,632
,631
,632
,631
,631
,631
,631
,632
,632
,631
,631
,631
,631
,631
,632
,632
,631
,631
,631
,631
,631
,631
,632
,631
,631
,631
,632
,632
,631
,631
,631
,631
,631
,631
,631
,631
,631
,632
,631
,632
,632
,632
,632
,631
,632
,632
,631
,631
,631
,632
,631
,632
,632
,631
,632
,631
,631
,631
,631
,631
,632
,632
,631
,631
,631
,632
,631
,631
,632
,631
,632
,631
,631
,631
,631
,631
,631
,632
,632
,631
,631
,631
,631
,631
,632
,631
,631
,632
,631
,632
,631
,632
,631
,631
,632
,631
,632
,632
,631
,632
,631
,632
,631
,632
,631
,631
,632
,632
,632
,632
,631
,631
,631
,631
,632
,632
,632
,631
,631
,631
,631
,631
,632
,632
,632
,631
,631
,632
,631
,631
,631
,631
,632
,631
,632
,632
,631
,631
,632
,632
,632
,632
,632
,631
,632
,631
,631
,631
,631
,632
,632
,632
,631
,631
,631
,631
,632
,632
,632
,632
,631
,631
,631
,631
,632
,631
,632
,631
,631
,632
,631
,631
,632
,632
,631
,632
,632
,631
,631
,632
,631
,632
,631
,631
,631
,631
,631
,632
,631
,631
,631
,632
,631
,632
,632
,632
,631
,631
,631
,631
,631
,631
,632
,632
,632
,631
,632
,631
,631
,632
,632
,632
,631
,631
,631
,631
,631
,631
,632
,631
,632
,632
,632
,631
,631
,632
,631
,632
,631
,631
,631
,631
,632
,631
,632
,631
,631
,632
,631
,632
,632
,631
,631
,632
,632
,632
,631
,631
,631
,632
,631
,631
,631
,631
,631
,632
,632
,631
,631
,631
,631
,631
,631
,631
,631
,631
,631
,631
,631
,631
,632
,632
,631
,631
,631
,632
,631
,631
,631
,632
,632
,631
,632
,631
,631
,631
,631
,631
,631
,632
,632
,632
,631
,631
,631
,631
,631
,631
,631
,632
,631
,632
,631
,631
,632
,631
,631
,631
,631
,632
,631
,631
,631
,631
,632
,631
,632
,631
,631
,631
,631
,632
,631
,631
,631
,632
,631
,632
,631
,631
,631
,631
,632
,631
,631
,631
,632
,631
,632
,631
,631
,631
,631
,631
,631
,632
,632
,632
,631
,632
,632
,631
,632
,632
,631
,632
,631
,631
,631
,631
,631
,631
,631
,631
,631
,632
,632
,632
,631
,631
,631
,631
,632
,631
,631
,632
,632
,631
,632
,631
,631
,632
,632
,631
,631
,631
,631
,631
,632
,632
,631
,632
,632
,631
,631
,632
,631
,631
,631
,631
,631
,631
,631
,632
,631
,631
,632
,632
,631
,631
,631
,631
,632
,632
,632
,632
,631
,631
,631
,632
,631
,631
,631
,631
,631
,631
,632
,631
,632
,632
,631
,632
,631
,632
,632
Window 2,
,201
,203
,203
,203
,204
,203
,203
,203
,203
,202
,201
,201
,201
,201
,200
,200
,201
,201
,202
,202
,203
,203
,203
,203
,203
,202
,202
,201
,201
,201
,200
,200
,199
,199
,200
,200
,200
,201
,201
,202
,202
,202
,201
,201
,200
,199
,199
,199
,198
,198
,197
,197
,198
,199
,200
,200
,200
,200
,201
,201
,201
,201
,200
,199
,199
,198
,197
,198
,197
,197
,198
,198
,198
,199
,199
,200
,200
,200
,200
,200
,199
,199
,199
,198
,197
,197
,197
,198
,197
,198
,198
,199
,198
,199
,199
,199
,199
,198
,198
,197
,197
,197
,196
,196
,195
,195
,196
,196
,196
,197
,197
,197
,198
,198
,198
,198
,197
,197
,196
,196
,196
,195
,195
,196
,196
,197
,197
,197
,197
,198
,198
,199
,198
,197
,198
,197
,196
,196
,195
,195
,195
,195
,195
,196
,196
,197
,197
,197
,198
,198
,197
,197
,197
,196
,196
,195
,195
,194
,193
,194
,194
,195
,195
,196
,196
,196
,197
,197
,196
,196
,195
,194
,194
,194
,193
,193
,193
,193
,193
,193
,193
,194
,194
,195
,195
,196
,194
,194
,193
,193
,193
,193
,192
,191
,191
,192
,192
,193
,193
,194
,194
,194
,195
,195
,195
,195
,194
,194
,193
,193
,192
,192
,192
,193
,192
,193
,193
,194
,194
,195
,195
,195
,195
,194
,195
,194
,193
,193
,192
,192
,192
,192
,193
,194
,194
,194
,195
,195
,195
,195
,195
,194
,193
,194
,193
,192
,192
,191
,191
,191
,192
,192
,193
,193
,193
,193
,194
,194
,194
,193
,193
,193
,192
,191
,191
,191
,191
,191
,192
,192
,192
,193
,193
,194
,194
,195
,194
,194
,193
,192
,192
,191
,191
,191
,190
,191
,191
,192
,192
,192
,193
,193
,193
,193
,193
,194
,192
,192
,191
,190
,190
,191
,190
,191
,191
,191
,192
,192
,192
,193
,193
,193
,192
,192
,192
,191
,190
,189
,190
,188
,189
,190
,190
,190
,190
,191
,191
,191
,192
,192
,192
,191
,191
,190
,190
,190
,189
,189
,189
,189
,190
,191
,191
,191
,192
,192
,192
,192
,192
,192
,191
,191
,190
,189
,189
,189
,189
,189
,189
,189
,190
,190
,191
,191
,191
,191
,191
,191
,190
,190
,189
,188
,188
,187
,187
,187
,188
,188
,189
,189
,190
,189
,190
,190
,190
,189
,188
,188
,187
,186
,186
,185
,185
,186
,186
,186
,187
,187
,188
,188
,188
,188
,188
,188
,187
,187
,186
,186
,186
,184
,185
,185
,186
,186
,186
,186
,186
,187
,187
,187
,186
,187
,185
,185
,184
,185
,185
,184
,184
,185
,185
,186
,186
,186
,186
,187
,187
,186
,187
,186
,185
,185
,184
,184
,183
,183
,183
,183
,183
,184
,184
,184
,184
,184
,185
,185
,185
,184
,184
,183
,182
,182
,182
,182
,182
,182
,182
,183
,183
,183
,183
,184
,184
,184
,184
,183
,183
,182
,182
,182
,181
,181
,181
,182
,181
,182
,182
,183
,183
,184
,185
,184
,183
,183
,182
,182
,181
,181
,181
,180
Window 3,
,96
,96
,96
,96
,95
,96
,96
,95
,94
,93
,93
,93
,94
,94
,94
,94
,94
,95
,96
,96
,96
,95
,95
,94
,94
,94
,93
,93
,93
,92
,92
,92
,93
,93
,93
,93
,94
,94
,94
,94
,94
,93
,93
,93
,92
,92
,91
,91
,91
,91
,91
,92
,93
,93
,94
,94
,94
,94
,94
,94
,93
,93
,93
,92
,91
,91
,91
,92
,92
,92
,93
,93
,93
,93
,94
,93
,94
,93
,93
,92
,92
,91
,91
,91
,91
,91
,91
,92
,92
,93
,93
,94
,93
,93
,94
,93
,92
,91
,91
,90
,90
,89
,90
,91
,90
,91
,92
,92
,93
,93
,92
,93
,93
,92
,91
,92
,90
,90
,90
,89
,90
,89
,90
,91
,91
,91
,92
,92
,92
,92
,91
,90
,91
,90
,90
,89
,90
,89
,89
,89
,89
,89
,90
,90
,91
,91
,90
,91
,90
,90
,89
,89
,89
,88
,88
,88
,88
,88
,88
,89
,90
,90
,90
,91
,90
,91
,90
,90
,90
,89
,89
,88
,88
,87
,88
,88
,88
,89
,89
,90
,90
,90
,91
,90
,90
,89
,89
,88
,88
,87
,87
,87
,88
,88
,89
,88
,89
,89
,90
,90
,90
,90
,90
,90
,89
,88
,88
,87
,88
,87
,87
,87
,88
,88
,88
,89
,89
,90
,90
,90
,88
,88
,88
,87
,88
,86
,86
,86
,86
,87
,87
,87
,87
,88
,88
,89
,90
,89
,89
,89
,88
,88
,87
,87
,86
,86
,87
,87
,88
,88
,89
,89
,90
,90
,90
,90
,90
,89
,89
,89
,88
,88
,87
,88
,88
,88
,88
,89
,89
,90
,91
,91
,91
,92
,91
,91
,90
,89
,90
,90
,88
,88
,89
,89
,90
,91
,91
,91
,91
,91
,92
,92
,91
,91
,90
,90
,89
,89
,89
,88
,89
,89
,90
,89
,91
,91
,91
,92
,92
,91
,91
,91
,90
,90
,89
,88
,88
,88
,88
,89
,89
,89
,90
,90
,91
,90
,91
,90
,90
,89
,89
,89
,88
,87
,87
,87
,88
,87
,88
,89
,89
,89
,89
,90
,90
,90
,89
,89
,89
,88
,88
,87
,87
,88
,88
,88
,88
,89
,90
,90
,90
,90
,90
,90
,91
,90
,90
,89
,88
,88
,88
,87
,88
,88
,89
,89
,89
,90
,91
,91
,91
,91
,90
,90
,89
,89
,89
,88
,87
,88
,88
,88
,89
,89
,89
,90
,91
,91
,91
,90
,91
,90
,89
,89
,88
,88
,88
,88
,88
,88
,89
,89
,90
,90
,90
,90
,91
,91
,90
,90
,90
,89
,88
,87
,87
,88
,87
,88
,89
,89
,89
,90
,91
,91
,91
,90
,90
,90
,89
,89
,88
,88
,88
,88
,88
,88
,88
,89
,90
,90
,90
,91
,91
,91
,90
,90
,90
,88
,88
,87
,87
,88
,88
,88
,88
,89
,89
,90
,90
,90
,90
,90
,89
,89
,88
,88
,87
,87
,87
,87
,87
,87
,87
,88
,88
,88
,89
,89
,89
,89
,89
,88
,88
,87
,86
,86
,86
,86
,86
,86
Window 4,
,56
,56
,57
,57
,57
,58
,57
,58
,58
,58
,58
,58
,57
,57
,56
,56
,56
,56
,56
,57
,57
,58
,57
,58
,58
,58
,58
,59
,59
,58
,57
,57
,58
,57
,57
,56
,56
,57
,57
,57
,57
,58
,58
,58
,58
,58
,58
,58
,58
,57
,57
,57
,56
,57
,56
,57
,57
,57
,57
,58
,58
,59
,59
,59
,59
,59
,58
,58
,58
,57
,57
,56
,56
,58
,58
,58
,59
,58
,59
,59
,59
,59
,59
,59
,58
,58
,57
,57
,57
,56
,57
,57
,57
,57
,58
,58
,58
,59
,59
,59
,58
,58
,58
,57
,58
,56
,57
,57
,57
,57
,57
,58
,58
,58
,59
,59
,59
,59
,59
,59
,58
,58
,57
,57
,57
,57
,57
,57
,58
,58
,58
,58
,59
,59
,59
,59
,59
,58
,58
,57
,57
,57
,57
,57
,56
,57
,58
,57
,58
,58
,59
,58
,59
,59
,58
,58
,58
,58
,57
,58
,56
,56
,56
,57
,57
,57
,58
,58
,58
,58
,59
,59
,58
,58
,58
,57
,57
,57
,57
,56
,57
,56
,57
,57
,56
,57
,57
,58
,58
,58
,58
,57
,57
,57
,56
,56
,56
,55
,55
,56
,56
,57
,56
,57
,58
,58
,59
,59
,58
,58
,58
,58
,56
,56
,56
,56
,56
,56
,57
,58
,58
,58
,59
,59
,59
,58
,58
,58
,58
,57
,57
,57
,57
,57
,57
,57
,57
,58
,58
,58
,58
,58
,59
,58
,58
,58
,58
,57
,56
,57
,56
,56
,56
,56
,57
,57
,57
,57
,58
,58
,59
,59
,58
,58
,57
,57
,57
,56
,56
,56
,57
,57
,57
,57
,58
,58
,59
,58
,59
,58
,58
,58
,58
,57
,57
,57
,57
,57
,57
,57
,58
,57
,58
,59
,59
,60
,60
,60
,60
,59
,59
,59
,58
,58
,57
,58
,57
,58
,59
,59
,59
,59
,59
,60
,60
,60
,60
,60
,59
,59
,58
,58
,58
,58
,58
,58
,58
,59
,59
,59
,60
,60
,61
,61
,60
,60
,60
,59
,59
,59
,58
,58
,58
,59
,59
,59
,60
,60
,61
,61
,62
,61
,60
,60
,60
,59
,59
,58
,59
,58
,59
,58
,59
,60
,60
,61
,61
,62
,61
,61
,61
,61
,60
,60
,60
,59
,59
,59
,59
,59
,60
,60
,60
,60
,61
,61
,61
,61
,60
,60
,60
,60
,60
,60
,59
,59
,59
,59
,59
,60
,60
,61
,60
,61
,61
,62
,61
,60
,60
,60
,59
,59
,59
,58
,59
,59
,59
,59
,60
,61
,61
,61
,61
,61
,61
,60
,60
,60
,60
,59
,59
,59
,59
,59
,59
,60
,61
,61
,62
,62
,62
,62
,62
,61
,61
,60
,60
,60
,59
,59
,59
,61
,61
,62
,61
,62
,62
,62
,63
,63
,62
,62
,62
,62
,61
,61
,61
,60
,60
,61
,61
,62
,62
,63
,63
,63
,63
,63
,62
,62
,62
,61
,61
,60
,60
,60
,60
,60
,61
,61
,61
,61
,61
,62
,62
,62
,62
,61
,60
,61
Window 5,
,56
,55
,54
,54
,55
,54
,54
,54
,54
,55
,55
,55
,56
,56
,56
,55
,55
,55
,54
,54
,54
,54
,54
,54
,53
,54
,54
,55
,54
,54
,55
,55
,55
,55
,55
,55
,54
,53
,53
,54
,53
,53
,54
,54
,54
,54
,54
,54
,54
,55
,56
,55
,54
,54
,54
,53
,53
,54
,54
,53
,54
,53
,53
,53
,54
,54
,54
,55
,55
,55
,54
,54
,54
,54
,53
,54
,53
,53
,53
,53
,54
,54
,54
,54
,54
,54
,55
,54
,54
,54
,54
,53
,54
,53
,54
,54
,53
,53
,53
,54
,54
,54
,54
,54
,54
,54
,54
,53
,53
,53
,53
,53
,53
,52
,52
,52
,52
,52
,53
,53
,54
,53
,54
,54
,53
,53
,53
,53
,52
,52
,52
,52
,52
,52
,52
,53
,52
,53
,54
,54
,55
,55
,54
,54
,54
,53
,54
,53
,53
,53
,53
,53
,53
,54
,54
,54
,54
,55
,55
,55
,54
,54
,54
,54
,54
,53
,54
,53
,54
,53
,53
,54
,54
,54
,55
,55
,56
,55
,55
,55
,55
,55
,54
,54
,54
,54
,54
,53
,54
,54
,54
,56
,55
,55
,56
,55
,54
,54
,54
,54
,53
,53
,53
,54
,53
,53
,53
,54
,54
,55
,55
,55
,55
,55
,54
,55
,54
,53
,54
,54
,53
,53
,53
,53
,53
,54
,54
,54
,54
,54
,55
,55
,54
,54
,54
,53
,53
,54
,53
,54
,52
,53
,53
,54
,54
,54
,54
,54
,54
,54
,53
,54
,53
,53
,53
,53
,52
,52
,52
,51
,53
,53
,53
,53
,54
,53
,53
,53
,53
,53
,52
,52
,52
,52
,52
,52
,51
,52
,52
,52
,53
,52
,52
,53
,53
,53
,53
,53
,52
,52
,52
,52
,52
,52
,52
,52
,52
,52
,53
,53
,53
,53
,53
,54
,53
,52
,52
,52
,52
,52
,52
,52
,52
,52
,52
,52
,52
,53
,53
,53
,54
,53
,53
,53
,52
,53
,52
,53
,52
,52
,52
,52
,53
,53
,53
,53
,53
,54
,53
,53
,53
,52
,52
,53
,52
,52
,52
,52
,52
,51
,52
,52
,52
,53
,53
,53
,53
,53
,53
,52
,52
,52
,52
,52
,51
,51
,52
,52
,52
,52
,53
,53
,54
,54
,54
,53
,54
,53
,53
,52
,52
,52
,52
,52
,52
,52
,52
,52
,52
,53
,54
,53
,53
,53
,53
,52
,53
,53
,52
,52
,52
,52
,52
,53
,52
,53
,53
,54
,54
,54
,54
,53
,54
,53
,53
,53
,53
,52
,52
,52
,52
,52
,52
,52
,53
,53
,54
,53
,54
,54
,53
,52
,52
,52
,52
,52
,52
,52
,52
,52
,52
,53
,53
,53
,54
,53
,54
,53
,53
,53
,53
,52
,52
,53
,52
,52
,52
,52
,52
,52
,52
,53
,53
,53
,54
,53
,53
,53
,52
,52
,52
,52
,52
,52
,51
,52
,52
,52
,53
,53
,54
,53
,54
,53
,53
,53
,53
,52
,52
,52
,51
,51
,51
,52
,52
,52
,52
,53
,53
,53
Window 6,
,55
,55
,55
,55
,55
,54
,54
,54
,54
,53
,53
,53
,53
,53
,53
,54
,54
,55
,54
,55
,55
,54
,55
,54
,54
,54
,53
,53
,53
,53
,53
,53
,53
,53
,54
,54
,55
,55
,55
,55
,54
,54
,54
,54
,54
,54
,53
,53
,53
,53
,54
,54
,55
,55
,56
,56
,56
,55
,56
,55
,55
,55
,54
,54
,54
,54
,54
,53
,54
,54
,55
,54
,55
,55
,56
,56
,55
,54
,54
,54
,54
,54
,53
,53
,53
,53
,54
,54
,54
,54
,55
,55
,55
,56
,55
,54
,54
,55
,54
,53
,54
,53
,53
,54
,54
,54
,55
,55
,56
,55
,56
,56
,55
,55
,55
,55
,55
,54
,54
,53
,53
,53
,54
,54
,55
,55
,55
,55
,55
,55
,55
,55
,54
,55
,54
,54
,54
,54
,53
,54
,54
,54
,55
,55
,55
,56
,55
,55
,56
,55
,55
,55
,54
,54
,54
,54
,54
,54
,54
,55
,55
,55
,55
,56
,56
,56
,55
,55
,55
,55
,55
,54
,54
,54
,53
,54
,54
,55
,55
,55
,57
,56
,56
,57
,56
,56
,56
,55
,55
,56
,55
,55
,55
,55
,55
,55
,56
,56
,56
,57
,57
,57
,56
,56
,56
,56
,55
,55
,56
,55
,54
,55
,55
,55
,56
,56
,56
,56
,56
,56
,56
,56
,55
,56
,55
,55
,55
,54
,54
,54
,54
,55
,56
,56
,56
,56
,57
,56
,56
,56
,56
,55
,55
,55
,54
,54
,54
,54
,55
,55
,55
,56
,56
,57
,57
,57
,56
,56
,55
,55
,55
,55
,55
,55
,54
,55
,55
,55
,55
,56
,56
,57
,56
,57
,56
,56
,56
,55
,55
,55
,54
,55
,55
,55
,55
,55
,56
,56
,56
,56
,56
,56
,56
,55
,56
,55
,55
,54
,54
,54
,54
,54
,54
,56
,56
,56
,56
,57
,57
,57
,56
,56
,56
,56
,55
,55
,55
,55
,55
,55
,56
,56
,55
,56
,57
,57
,57
,57
,56
,55
,55
,55
,55
,54
,54
,54
,55
,55
,55
,55
,56
,56
,56
,56
,56
,56
,56
,56
,56
,55
,55
,55
,54
,54
,55
,55
,56
,55
,55
,56
,56
,56
,56
,57
,56
,56
,55
,55
,54
,54
,54
,53
,54
,54
,55
,55
,56
,55
,56
,56
,57
,56
,56
,56
,56
,55
,55
,55
,54
,55
,54
,55
,55
,55
,56
,56
,56
,57
,57
,57
,57
,56
,56
,55
,56
,55
,55
,55
,55
,55
,55
,56
,56
,56
,57
,57
,58
,57
,56
,56
,55
,56
,55
,55
,55
,55
,55
,55
,55
,56
,56
,56
,57
,57
,57
,57
,56
,56
,55
,56
,55
,54
,54
,55
,55
,55
,56
,56
,56
,56
,57
,57
,57
,58
,57
,56
,56
,56
,56
,56
,55
,55
,56
,56
,56
,56
,57
,57
,57
,57
,57
,57
,57
,57
,57
,57
,56
,56
,55
,56
,55
,55
,56
,56
,56
,57
,58
,57
,58
,58
,57
,57
,57
,56
,56
,56
,56
,55
,56
,56
Window 7,
,53
,53
,54
,54
,54
,54
,54
,54
,53
,54
,53
,53
,53
,53
,52
,52
,52
,52
,52
,52
,53
,53
,54
,54
,54
,54
,54
,54
,53
,54
,53
,53
,52
,52
,52
,52
,53
,52
,53
,53
,54
,54
,54
,55
,54
,54
,53
,53
,53
,53
,52
,52
,52
,52
,52
,52
,52
,52
,53
,53
,53
,54
,53
,53
,53
,53
,53
,52
,52
,51
,52
,52
,52
,52
,52
,53
,53
,53
,54
