Note,Value
Begin Recording - 14:56:1,
Window 1,
,194
,194
,195
,195
,196
,197
,197
,197
,197
,198
,198
,196
,196
,196
,196
,196
,195
,194
,193
,191
,190
,189
,188
,187
,185
,184
,183
,182
,181
,180
,179
,179
,177
,177
,176
,176
,174
,173
,173
,173
,172
,172
,171
,171
,170
,169
,169
,169
,169
,168
,168
,167
,167
,166
,167
,166
,166
,166
,166
,165
,166
,166
,164
,164
,164
,164
,164
,164
,163
,163
,163
,163
,163
,163
,163
,163
,162
,162
,162
,162
,162
,161
,162
,161
,161
,162
,161
,161
,161
,161
,161
,160
,160
,161
,160
,160
,160
,160
,159
,159
,160
,160
,159
,159
,159
,159
,158
,158
,158
,157
,157
,157
,157
,157
,156
,156
,156
,154
,152
,151
,150
,149
,148
,147
,147
,148
,148
,148
,147
,145
,145
,143
,140
,140
,142
,141
,143
,147
,152
,159
,166
,174
,180
,185
,188
,190
,190
,192
,198
,206
,214
,225
,234
,243
,253
,260
,263
,263
,260
,256
,254
,251
,252
,256
,264
,276
,291
,305
,317
,327
,333
,338
,340
,340
,339
,337
,337
,338
,340
,339
,335
,334
,334
,335
,338
,343
,352
,360
,368
,376
,385
,392
,404
,416
,422
,428
,438
,448
,452
,451
,449
,444
,438
,432
,429
,430
,430
,425
,424
,423
,422
,422
,426
,429
,429
,427
,422
,419
,416
,413
,407
,403
,399
,395
,392
,389
,387
,391
,402
,415
,428
,440
,450
,450
,448
,444
,442
,440
,435
,429
,424
,418
,414
,412
,414
,417
,417
,417
,414
,412
,410
,406
,400
,395
,390
,385
,380
,376
,371
,366
,363
,360
,357
,353
,348
,344
,339
,336
,335
,335
,334
,334
,336
,338
,341
,342
,343
,342
,343
,345
,350
,360
,369
,375
,377
,373
,370
,374
,379
,384
,386
,383
,379
,380
,384
,386
,387
,388
,389
,385
,381
,379
,380
,380
,383
,386
,386
,382
,377
,377
,376
,374
,374
,379
,388
,400
,414
,420
,415
,413
,412
,414
,414
,408
,404
,399
,396
,390
,392
,400
,414
,427
,433
,432
,432
,433
,429
,427
,422
,419
,414
,410
,409
,408
,408
,408
,406
,402
,402
,406
,410
,411
,407
,405
,404
,403
,399
,396
,394
,394
,394
,398
,406
,411
,410
,406
,402
,403
,404
,402
,398
,394
,390
,389
,393
