Note,Value
Begin Recording - 14:59:33,
Window 1,
,39
,39
,39
,39
,39
,39
,39
,39
,39
,38
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,40
,40
,40
,39
,40
,39
,39
,40
,39
,39
,39
,39
,39
,40
,40
,39
,39
,40
,39
,39
,39
,40
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,38
,38
,39
,38
,38
,39
,38
,39
,39
,38
,38
,38
,39
,39
,39
,38
,39
,39
,39
,39
,39
,39
,39
,40
,39
,39
,39
,39
,38
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,38
,38
,39
,38
,39
,39
,38
,39
,38
,38
,39
,39
,39
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,38
,37
,38
,38
,38
,37
,38
,37
,38
,38
,38
,38
,38
,38
,38
,38
,39
,39
,39
,39
,38
,39
,38
,38
,38
,38
,39
,39
,40
,39
,40
,39
,39
,39
,39
,39
,40
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,39
,40
,39
,39
,40
,40
,40
,40
,40
,39
,39
,39
,40
,39
,39
,40
,39
,40
,40
,40
,40
,40
,40
,40
,40
,40
,39
,39
,40
,39
,39
,39
,39
,40
,40
,40
,40
,40
,40
,40
,40
,39
,40
,40
,39
,40
,40
,39
,40
,40
,40
,40
,40
,40
,40
,41
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,41
,40
,40
,40
,41
,40
,41
,40
,40
,40
,41
,41
,41
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,39
,40
,40
,40
,40
,40
,41
,40
,40
,40
,40
,40
,40
,40
,40
,40
,40
,41
,41
,41
,41
,41
,41
,40
,41
,40
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,41
,40
,41
,41
,41
,41
,40
,41
,41
,41
,41
,41
,41
,41
,41
,41
,42
,42
,42
,42
,41
,42
,42
,42
,42
,42
,42
,42
,42
,42
,41
,42
,42
,42
,42
,42
,42
,42
,42
