Note,Value
Begin Recording - 15:59:26,
Window 1,
,105
,105
,104
,106
,108
,110
,113
,115
,119
,125
,128
,132
,135
,135
,135
,137
,139
,145
,155
,164
,173
,178
,178
,178
,189
,204
,220
,237
,252
,256
,258
,256
,255
,254
,254
,252
,249
,246
,244
,242
,245
,249
,257
,266
,273
,277
,284
,303
,325
,341
,353
,362
,367
,370
,367
,366
,363
,361
,357
,354
,351
,348
,349
,352
,356
,357
,353
,351
,349
,348
,352
,353
,357
,364
,367
,366
,366
,369
,373
,378
,378
,377
,374
,375
,377
,375
,377
,386
,398
,406
,412
,411
,406
,402
,399
,393
,389
,386
,381
,377
,372
,369
,368
,363
,360
,358
,359
,365
,371
,375
,375
,375
,377
,380
,381
,383
,383
,379
,377
,379
,386
,391
,395
,400
,404
,402
,398
,392
,387
,383
,382
,382
,385
,386
,386
,386
,387
,387
,390
,392
,393
,394
,397
,399
,404
,404
,401
,396
,391
,386
,384
,383
,384
,386
,389
,392
,402
,419
,434
,440
,440
,434
,434
,434
,431
,429
,428
,427
,426
,426
,428
,429
,429
,429
,431
,432
,436
,436
,435
,432
,428
,423
,423
,423
,420
,414
,409
,408
,411
,412
,410
,410
,411
,412
,412
,412
,414
,418
,424
,430
,434
,436
,437
,439
,440
,438
,435
,430
,431
,434
,436
,434
,435
,438
,437
,433
,432
,431
,433
,436
,437
,437
,435
,432
,429
,428
,429
,430
,434
,440
,445
,448
,452
,456
,459
,458
,456
,451
,447
,441
,441
,442
,448
,450
,452
,453
,456
,456
,454
,451
,450
,446
,444
,444
,446
,448
,449
,450
,450
,450
,456
,463
,465
,462
,462
,460
,455
,453
,454
,456
,455
,454
,455
,457
,457
,457
,453
,452
,450
,450
,451
,454
,456
,457
,456
,453
,449
,444
,443
,444
,446
,449
,453
,458
,461
,460
,458
,455
,451
,448
,445
,445
,444
,441
,437
,437
,437
,437
,437
,437
,437
,436
,435
,430
,425
,420
,418
,421
,426
,429
,429
,432
,437
,440
,442
,440
,434
,430
,424
,419
,414
,409
,405
,402
,402
,402
,400
,401
,403
,404
,402
,396
,392
,389
,386
,387
,387
,384
,384
,382
,383
,383
,383
,382
,381
,376
,373
,370
,367
,370
,380
,390
,392
,389
,385
,380
,376
,371
,369
,367
,367
,371
,372
,371
,366
,363
,361
,357
,354
,354
,358
,357
,356
,355
,351
,347
,349
,352
,351
,348
,348
,346
,342
,342
,341
,341
,339
,340
,341
,342
,341
,338
,333
,330
,326
,323
,320
,316
,314
,315
,316
,318
,319
,321
,323
,325
,325
,323
,320
,319
,318
,319
,323
,324
,321
,323
,324
,326
,328
,332
,333
,331
,331
,333
,337
,341
,343
,339
,336
,337
,335
,334
,332
,329
,326
,322
,318
,319
,321
,323
,325
,328
,327
,323
,320
,317
,312
,309
,306
,302
,300
,300
,304
,312
,315
,311
,308
,304
,303
,304
,305
,304
,303
,303
,300
,296
,293
,293
,295
,292
,289
,287
,290
,297
,301
,301
,302
,299
,296
,292
,292
,290
,289
,288
,289
,289
,288
,288
,286
,283
Window 2,
,238
,238
,239
,239
,240
,240
,241
,240
,240
,240
,240
,240
,239
,238
,239
,238
,238
,237
,236
,236
,236
,236
,236
,235
,235
,235
,235
,235
,235
,234
,233
,232
,231
,230
,230
,230
,229
,229
,229
,228
,229
,229
,229
,229
,229
,229
,229
,229
,228
,228
,227
,227
,226
,226
,226
,225
,225
,224
,224
,224
,224
,224
,225
,224
,224
,223
,224
,223
,223
,223
,222
,222
,220
,220
,219
,220
,220
,220
,220
,220
,220
,220
,220
,219
,219
,218
,218
,218
,217
,217
,217
,217
,218
,218
,218
,218
,218
,217
,218
,217
,217
,216
,216
,215
,215
,214
,213
,212
,211
,211
,211
,210
,209
,208
,207
,207
,207
,208
,208
,210
,210
,210
,209
,210
,209
,209
,207
,207
,206
,205
,204
,204
,203
,204
,204
,205
,204
,203
,202
,200
,199
,199
,198
,199
,199
,200
,200
,200
,199
,199
,199
,198
,199
,199
,199
,198
,199
,198
,197
,196
,196
,195
,195
,195
,195
,198
,199
,202
,203
,203
,202
,200
,200
,199
,198
,197
,196
,195
,194
,194
,193
,192
,191
,190
,188
,187
,186
,185
,184
,185
,185
,186
,186
,185
,185
,185
,185
,184
,183
,182
,182
,182
,182
,182
,183
,183
,184
,184
,184
,184
,183
,182
,182
,183
,182
,182
,181
,180
,178
,176
,175
,174
,173
,172
,171
,173
,174
,175
,174
,173
,171
,170
,168
,167
,168
,168
,169
,169
,170
,171
,172
,171
,173
,172
,172
,171
,171
,170
,170
,169
,167
,165
,164
,163
,162
,162
,163
,166
,167
,168
,169
,170
,170
,170
,170
,169
,169
,169
,167
,167
,167
,167
,167
,168
,169
,171
,171
,171
,169
,167
,167
,168
,168
,168
,166
,166
,166
,165
,165
,164
,164
,164
,164
,165
,163
,164
,163
,163
,162
,162
,161
,161
,161
,161
,159
,158
,156
,156
,155
,155
,157
,161
,164
,166
,168
,169
,169
,169
,168
,167
,166
,164
,163
,162
,162
,161
,162
,165
,169
,171
,174
,177
,178
,180
,184
,192
,202
,211
,217
,224
,230
,235
,240
,244
,246
,247
,248
,252
,257
,265
,284
,312
,343
,371
,402
,428
,446
,452
,453
,451
,455
,466
,482
,494
,504
,517
,531
,539
,536
,531
,525
,519
,512
,513
,522
,533
,543
,543
,540
,547
,556
,559
,558
,553
,550
,545
,540
,544
,554
,570
,578
,575
,577
,580
,584
,580
,575
,571
,565
,558
,550
,544
,539
,536
,533
,526
,524
,526
,526
,520
,515
,514
,509
,505
,505
,509
,515
,520
,515
,510
,509
,509
,505
,500
,497
,495
,492
,489
,485
,482
,479
,477
,474
,471
,468
,466
,463
,460
,458
,455
,452
,451
,448
,447
,445
,445
,443
,441
,438
,437
,434
,431
,428
,426
,425
,425
,421
,417
,415
,412
,411
,409
,410
,408
,405
,401
,396
,392
,388
,383
,380
,382
,389
,392
,390
,389
,388
,386
,382
,380
,377
,374
,371
,368
,366
,363
,359
,355
,352
,347
,343
,339
,336
,335
,335
,332
,328
,326
,325
,322
Window 3,
,64
,64
,64
,64
,64
,64
,63
,64
,64
,64
,64
,65
,65
,65
,66
,66
,66
,67
,67
,67
,67
,66
,67
,66
,66
,65
,66
,67
,66
,67
,68
,68
,68
,69
,69
,69
,69
,69
,69
,69
,69
,69
,69
,69
,69
,69
,70
,69
,70
,70
,70
,70
,70
,70
,70
,70
,70
,69
,69
,70
,69
,70
,69
,69
,70
,70
,71
,71
,72
,72
,72
,72
,72
,72
,73
,72
,72
,72
,72
,72
,72
,72
,73
,73
,74
,74
,74
,73
,74
,74
,75
,74
,74
,73
,73
,73
,73
,73
,74
,74
,74
,73
,73
,75
,75
,75
,75
,75
,75
,74
,74
,73
,74
,75
,77
,79
,78
,79
,82
,83
,84
,84
,84
,84
,85
,84
,84
,84
,84
,83
,83
,82
,82
,82
,82
,81
,82
,82
,82
,82
,82
,82
,82
,83
,82
,82
,82
,81
,81
,80
,80
,80
,80
,80
,80
,80
,80
,81
,81
,81
,82
,82
,82
,81
,80
,79
,79
,79
,80
,80
,79
,79
,79
,80
,80
,80
,80
,79
,79
,79
,78
,78
,79
,80
,81
,81
,81
,83
,85
,86
,86
,86
,86
,87
,86
,87
,86
,86
,86
,85
,85
,84
,85
,86
,86
,86
,86
,87
,89
,92
,93
,94
,93
,93
,95
,95
,95
,96
,95
,95
,95
,96
,97
,96
,97
,95
,97
,99
,98
,99
,101
,104
,104
,104
,104
,103
,102
,102
,101
,101
,100
,100
,100
,100
,101
,100
,100
,102
,105
,107
,107
,108
,110
,111
,110
,111
,112
,112
,112
,111
,115
,116
,117
,117
,118
,118
,118
,117
,119
,120
,121
,122
,123
,129
,136
,147
,165
,184
,197
,208
,209
,214
,216
,219
,221
,229
,235
,238
,239
,239
,241
,241
,241
,238
,236
,233
,231
,228
,226
,224
,223
,223
,223
,225
,226
,224
,223
,223
,220
,225
,237
,246
,252
,258
,259
,259
,266
,275
,283
,290
,298
,306
,319
,336
,351
,366
,381
,401
,418
,426
,427
,422
,421
,420
,417
,416
,415
,420
,428
,433
,437
,437
,435
,435
,433
,429
,431
,432
,427
,423
,423
,421
,418
,416
,411
,409
,408
,405
,405
,402
,397
,395
,394
,394
,394
,391
,394
,402
,409
,411
,409
,405
,402
,402
,407
,408
,406
,410
,415
,418
,419
,416
,412
,410
,408
,408
,409
,405
,402
,400
,403
,406
,408
,414
,423
,431
,439
,442
,438
,433
,428
,425
,425
,425
,426
,427
,429
,429
,429
,427
,424
,424
,426
,429
,434
,438
,437
,435
,431
,426
,421
,417
,418
,423
,426
,429
,428
,427
,425
,424
,423
,422
,421
,421
,420
,419
,418
,418
,417
,416
,416
,415
,414
,413
,410
,407
,405
,402
,403
,404
,403
,402
,400
,399
,398
,395
,391
,387
,382
,382
,385
,388
,388
,385
,382
,379
,380
,378
,375
,371
,369
,370
,370
,367
,363
,360
,355
,351
,349
,355
,356
,354
,357
,358
,356
,352
,351
,351
,350
,349
,348
,344
,341
,338
,335
,334
,337
,338
,335
,331
Window 4,
,81
,81
,80
,81
,80
,80
,80
,80
,80
,79
,80
,80
,80
,81
,81
,81
,82
,81
,82
,82
,82
,82
,81
,82
,81
,81
,81
,81
,81
,82
,81
,82
,84
,85
,84
,84
,84
,83
,83
,84
,83
,83
,83
,82
,82
,83
,82
,81
,82
,82
,83
,83
,83
,84
,84
,83
,83
,83
,83
,83
,83
,82
,82
,82
,83
,83
,84
,83
,84
,83
,84
,84
,84
,83
,83
,83
,83
,82
,82
,82
,82
,81
,81
,82
,83
,83
,84
,84
,84
,84
,84
,84
,84
,83
,83
,82
,82
,82
,82
,83
,83
,83
,83
,84
,84
,84
,84
,84
,84
,84
,84
,85
,85
,85
,84
,84
,84
,84
,84
,84
,85
,86
,86
,86
,86
,87
,86
,86
,86
,86
,87
,87
,87
,87
,87
,88
,87
,87
,87
,88
,87
,88
,88
,88
,88
,87
,87
,87
,87
,86
,86
,86
,86
,87
,87
,87
,87
,87
,88
,89
,89
,89
,90
,91
,91
,90
,90
,90
,89
,90
,90
,90
,90
,90
,90
,91
,91
,91
,91
,91
,90
,90
,89
,90
,89
,90
,89
,89
,89
,88
,88
,89
,89
,89
,89
,89
,89
,88
,88
,87
,87
,85
,85
,85
,85
,85
,85
,86
,87
,87
,87
,89
,88
,88
,87
,87
,86
,86
,86
,85
,85
,84
,83
,82
,82
,82
,82
,84
,84
,87
,87
,90
,92
,94
,97
,99
,98
,97
,96
,96
,96
,96
,94
,94
,94
,93
,94
,95
,95
,94
,94
,93
,92
,91
,90
,90
,89
,90
,90
,91
,91
,92
,92
,93
,92
,93
,93
,94
,93
,93
,95
,95
,96
,95
,95
,95
,94
,94
,94
,95
,95
,96
,97
,97
,97
,98
,98
,98
,99
,98
,98
,98
,98
,99
,103
,106
,108
,108
,106
,107
,106
,105
,105
,105
,104
,104
,104
,104
,103
,104
,105
,107
,107
,107
,106
,105
,104
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,103
,102
,103
,102
,103
,103
,103
,104
,104
,105
,106
,106
,107
,107
,108
,107
,108
,107
,107
,105
,105
,106
,106
,107
,107
,108
,108
,108
,108
,107
,107
,107
,106
,105
,105
,105
,106
,106
,108
,110
,111
,113
,114
,114
,113
,112
,112
,113
,112
,112
,111
,111
,109
,109
,108
,107
,106
,106
,106
,105
,105
,106
,106
,106
,106
,106
,106
,107
,107
,106
,106
,106
,105
,105
,105
,104
,105
,105
,105
,105
,106
,106
,105
,105
,106
,106
,106
,107
,107
,107
,107
,106
,106
,108
,108
,108
,108
,113
,117
,119
,122
,124
,126
,126
,126
,127
,129
,128
,127
,127
,126
,125
,126
,125
,125
,125
,124
,125
,125
,124
,124
,123
,122
,122
,123
,123
,126
,126
,127
,129
,131
,130
,133
,133
,132
,131
,132
,133
,135
,135
,134
,133
,131
,129
,128
,127
,126
,124
,124
,125
,125
,124
,123
,122
,121
,122
,122
,121
,123
,122
,122
,121
,119
,118
,118
,118
,117
,118
,117
,117
,116
,117
,116
Window 5,
,69
,69
,68
,68
,68
,69
,69
,68
,69
,67
,67
,68
,69
,69
,69
,70
,70
,71
,70
,70
,70
,70
,70
,70
,69
,69
,69
,69
,69
,69
,70
,69
,70
,70
,70
,71
,71
,70
,71
,70
,70
,70
,69
,70
,69
,70
,69
,70
,70
,70
,70
,70
,71
,71
,70
,71
,70
,70
,69
,69
,69
,68
,68
,67
,68
,68
,69
,69
,69
,69
,68
,70
,69
,69
,69
,68
,68
,68
,67
,67
,68
,68
,67
,68
,68
,68
,68
,69
,69
,69
,69
,69
,69
,69
,68
,69
,68
,67
,68
,68
,68
,67
,68
,68
,68
,69
,69
,69
,69
,69
,69
,68
,67
,67
,67
,68
,67
,67
,67
,67
,67
,68
,68
,67
,68
,67
,67
,68
,68
,67
,66
,66
,66
,65
,65
,65
,64
,65
,64
,64
,64
,64
,64
,64
,64
,64
,63
,64
,63
,63
,62
,61
,61
,61
,61
,61
,61
,61
,61
,62
,62
,61
,61
,61
,60
,60
,59
,59
,59
,59
,58
,57
,58
,58
,59
,57
,58
,58
,58
,58
,58
,58
,57
,57
,57
,56
,56
,56
,55
,55
,55
,56
,55
,55
,55
,56
,56
,56
,55
,55
,56
,56
,55
,54
,54
,54
,54
,54
,54
,53
,54
,53
,54
,54
,54
,54
,55
,55
,54
,54
,53
,54
,53
,53
,53
,53
,52
,53
,53
,53
,53
,53
,53
,53
,54
,53
,53
,53
,53
,52
,52
,51
,52
,51
,52
,51
,51
,52
,52
,52
,53
,53
,53
,52
,53
,52
,51
,51
,52
,51
,54
,58
,60
,61
,62
,64
,65
,66
,66
,67
,66
,66
,65
,65
,64
,64
,64
,64
,63
,63
,62
,62
,62
,62
,62
,62
,61
,61
,62
,62
,61
,62
,62
,62
,62
,62
,61
,61
,61
,61
,62
,63
,64
,64
,65
,64
,64
,64
,64
,64
,64
,64
,65
,65
,65
,66
,67
,68
,68
,68
,69
,69
,72
,74
,79
,83
,84
,86
,88
,90
,90
,90
,89
,90
,92
,96
,103
,110
,115
,118
,119
,119
,123
,123
,124
,123
,122
,121
,122
,124
,125
,127
,134
,135
,138
,143
,146
,147
,147
,147
,146
,144
,144
,148
,154
,161
,169
,175
,174
,174
,174
,174
,174
,178
,185
,196
,207
,218
,225
,231
,233
,234
,234
,233
,231
,229
,230
,233
,244
,266
,292
,323
,354
,380
,402
,411
,421
,428
,434
,438
,441
,443
,448
,448
,444
,443
,442
,439
,440
,444
,444
,439
,433
,427
,421
,415
,410
,407
,405
,404
,405
,405
,407
,404
,405
,408
,406
,404
,408
,409
,409
,408
,403
,402
,400
,395
,395
,393
,398
,402
,403
,420
,439
,449
,445
,447
,456
,461
,457
,451
,449
,454
,458
,460
,462
,461
,461
,465
,467
,462
,456
,451
,447
,448
,454
,460
,464
,464
,463
,461
,457
,452
,449
,447
,452
,462
,469
,470
,469
,466
,464
,461
,459
,461
,462
,461
,457
,454
,453
,454
,455
,456
,458
,462
,466
,468
,471
,475
,479
,482
Window 6,
,65
,66
,65
,66
,66
,67
,67
,68
,68
,68
,68
,67
,68
,67
,67
,68
,67
,67
,67
,69
,70
,69
,70
,71
,71
,72
,73
,73
,73
,75
,75
,76
,75
,75
,76
,76
,77
,76
,77
,77
,76
,78
,78
,80
,80
,81
,82
,84
,86
,88
,88
,89
,89
,90
,92
,94
,94
,94
,93
,93
,93
,96
,99
,99
,99
,100
,100
,101
,100
,101
,101
,101
,101
,102
,101
,101
,101
,102
,102
,103
,103
,102
,102
,101
,101
,100
,101
,100
,99
,100
,99
,99
,99
,98
,98
,98
,98
,98
,98
,98
,97
,96
,96
,95
,95
,94
,94
,93
,92
,93
,94
,94
,96
,95
,95
,94
,94
,93
,94
,94
,95
,97
,98
,99
,99
,100
,100
,100
,100
,100
,101
,101
,102
,101
,104
,107
,109
,110
,109
,109
,107
,107
,106
,105
,105
,104
,104
,102
,102
,101
,101
,102
,101
,101
,103
,102
,101
,101
,101
,103
,105
,106
,106
,105
,106
,106
,105
,105
,105
,106
,107
,109
,107
,106
,106
,106
,106
,106
,105
,106
,106
,104
,103
,103
,102
,103
,102
,102
,102
,104
,108
,113
,116
,116
,115
