Note,Value
Begin Recording - 15:56:28,
Window 1,
,82
,82
,83
,84
,83
,84
,84
,84
,83
,84
,84
,83
,84
,84
,84
,84
,84
,84
,85
,85
,85
,85
,86
,86
,86
,86
,86
,86
,86
,85
,86
,86
,86
,86
,87
,87
,87
,87
,88
,89
,88
,89
,89
,89
,89
,89
,89
,89
,90
,93
,94
,94
,94
,97
,100
,101
,102
,103
,104
,104
,105
,105
,106
,105
,106
,106
,106
,106
,106
,107
,106
,107
,108
,107
,108
,108
,109
,109
,109
,109
,109
,109
,109
,108
,108
,108
,108
,110
,110
,112
,112
,112
,112
,111
,111
,110
,109
,109
,109
,108
,107
,107
,107
,106
,105
,108
,109
,109
,109
,109
,109
,111
,115
,117
,118
,120
,123
,126
,128
,128
,129
,128
,128
,125
,125
,126
,126
,125
,125
,125
,124
,124
,124
,123
,122
,121
,121
,120
,119
,119
,119
,119
,119
,119
,121
,121
,121
,121
,120
,119
,119
,120
,122
,122
,123
,124
,124
,124
,125
,126
,126
,126
,127
,129
,134
,141
,146
,148
,149
,148
,147
,150
,155
,161
,168
,174
,177
,178
,177
,178
,183
,187
,192
,196
,209
,233
,260
,283
,300
,308
,309
,306
,310
,317
,324
,328
,332
,330
,327
,328
,329
,328
,325
,321
,320
,318
,315
,313
,311
,310
,306
,305
,306
,305
,302
,299
,303
,312
,322
,335
,348
,354
,353
,352
,354
,358
,363
,373
,382
,387
,391
,394
,395
,395
,394
,393
,395
,398
,400
,397
,394
,394
,395
,402
,416
,427
,432
,433
,433
,429
,427
,425
,425
,427
,424
,419
,414
,411
,409
,403
,399
,396
,394
,394
,392
,388
,383
,381
,380
,379
,377
,375
,372
,369
,366
,360
,357
,355
,353
,350
,349
,348
,348
,349
,352
,351
,349
,346
,342
,337
,333
,329
,325
,321
,321
,321
,320
,318
,317
,315
,312
,309
,304
,302
,301
,301
,302
,303
,302
,298
,295
,292
,289
,288
,286
,283
,280
,279
,277
,276
,275
,274
,274
,274
,273
,273
,271
,268
,268
,267
,265
,263
,262
,263
,263
,264
,264
,265
,264
,265
,266
,266
,265
,265
,264
,265
,267
,267
,268
,268
,268
,267
,266
,265
,263
,261
,260
,258
,257
,256
,256
,256
,255
,255
,254
,254
,254
,253
,252
,251
,249
,246
,243
,241
,242
,245
,246
,246
,246
,246
,246
,247
,246
,246
,246
,245
,245
,245
,244
,244
,243
,244
,243
,243
,243
,243
,243
,243
,244
,243
,244
,244
,244
,244
,244
,244
,243
,243
,242
,242
,242
,241
,241
,242
,242
,243
,243
,244
,244
,244
,244
,244
,244
,243
,244
,246
,244
,243
,243
,244
,248
,246
,244
,242
,240
,241
,243
,243
,243
,243
,243
,243
,244
,244
,244
,244
,244
,243
,243
,244
,244
,244
,244
,244
,244
,244
,244
,245
,245
,243
,240
,238
,238
,240
,241
,241
,240
,240
,241
,243
,243
,243
,244
,244
,244
,244
,244
,243
,243
,243
,243
,244
,244
,244
,245
,246
,247
,247
,247
,247
,247
,247
,246
,246
,246
,246
,246
,245
,243
,242
Window 2,
,76
,76
,76
,76
,75
,76
,76
,76
,76
,76
,75
,76
,75
,75
,74
,74
,74
,74
,73
,73
,74
,74
,74
,74
,74
,74
,73
,74
,73
,73
,73
,72
,71
,71
,71
,71
,71
,70
,71
,70
,71
,72
,72
,71
,72
,72
,71
,72
,71
,70
,69
,69
,69
,69
,69
,69
,69
,70
,70
,70
,70
,70
,71
,70
,70
,70
,70
,70
