Note,Value
Begin Recording - 15:53:32,
Window 1,
,53
,54
,54
,54
,53
,54
,54
,54
,54
,54
,54
,55
,54
,55
,55
,56
,57
,57
,58
,58
,59
,59
,59
,60
,60
,60
,58
,59
,60
,60
,59
,60
,60
,61
,62
,62
,62
,63
,63
,63
,64
,64
,64
,64
,64
,64
,63
,64
,64
,65
,65
,65
,66
,66
,67
,67
,67
,68
,68
,68
,68
,67
,68
,68
,68
,68
,68
,69
,68
,69
,70
,70
,71
,71
,71
,72
,72
,72
,72
,71
,71
,72
,72
,72
,72
,72
,73
,73
,74
,74
,74
,75
,74
,75
,75
,75
,75
,75
,75
,75
,74
,75
,75
,75
,75
,76
,76
,77
,77
,78
,77
,77
,77
,78
,77
,78
,77
,76
,76
,76
,76
,77
,77
,77
,78
,79
,79
,79
,79
,79
,79
,79
,79
,79
,79
,78
,78
,78
,78
,78
,79
,79
,80
,80
,80
,81
,80
,80
,80
,80
,80
,79
,79
,79
,79
,79
,79
,79
,79
,79
,79
,79
,79
,79
,79
,79
,79
,79
,78
,77
,78
,76
,78
,77
,77
,78
,77
,78
,78
,78
,77
,78
,78
,78
,77
,76
,76
,76
,75
,75
,75
,75
,74
,74
,75
,75
,75
,75
,75
,75
,75
,74
,74
,73
,73
,73
,72
,72
,71
,71
,72
,71
,71
,72
,72
,72
,72
,72
,72
,71
,71
,71
,71
,70
,70
,69
,69
,68
,68
,68
,68
,69
,69
,69
,69
,69
,69
,68
,68
,68
,67
,67
,66
,66
,66
,66
,66
,66
,65
,65
,65
,66
,65
,65
,65
,64
,64
,64
,63
,63
,63
,62
,61
,61
,61
,61
,61
,61
,61
,61
,61
,60
,60
,59
,59
,58
,58
,59
,58
,58
,57
,57
,57
,57
,57
,56
,57
,56
,56
,55
,55
,55
,55
,54
,54
,55
,54
,54
,54
,53
,53
,53
,53
,53
,52
,52
,52
,52
,51
,51
,51
,51
,51
,51
,51
,52
,51
,51
,51
,51
,50
,50
,50
,50
,50
,50
,50
,49
,49
,49
,49
,50
,49
,49
,49
,49
,49
,48
,48
,48
,48
,48
,48
,48
,47
,48
,47
,47
,48
,48
,47
,48
,47
,47
,47
,47
,47
,47
,47
,47
,47
,47
,47
,47
,46
,46
,46
,46
,46
,46
,45
,46
,45
,46
,45
,45
,46
,46
,45
,45
,46
,45
,45
,45
,45
,45
,45
,45
,45
,44
,45
,45
,45
,45
,45
,45
,45
,45
,45
,45
,45
,44
,45
,44
,45
,45
,44
,44
,44
,44
,45
,45
,45
,45
,45
,45
,45
,45
,45
,45
,44
,45
,44
,44
,44
,44
,44
,44
,45
,45
,45
,46
,45
,45
,46
,46
,46
,45
,45
,44
,45
,45
,44
,44
,45
,45
,45
,46
,46
,45
,46
,46
,46
,46
,45
,46
,46
,45
,45
,44
,45
,45
,46
,46
,46
,46
,47
,46
,47
,47
,47
,47
,47
,47
,47
,47
,47
,47
,46
,46
,47
,47
,47
,48
,48
,49
,49
,49
,49
,49
,49
,49
,49
,48
,48
,48
,48
,48
,48
,49
Window 2,
,47
,47
,47
,47
,46
,46
,46
,47
,46
,47
,47
,47
,47
,47
,48
,48
,48
,47
,47
,47
,47
,47
,46
,47
,47
,47
,47
,46
,47
,46
,47
,47
,47
,47
,48
,47
