Note,Value
Begin Recording - 15:29:51,
Window 1,
,465
,517
,579
,635
,642
,642
,642
,642
,642
,642
,642
,642
,642
,642
,642
,642
,642
,642
,641
,641
,641
,641
,641
,641
,642
,642
,642
,641
,642
,642
,642
,642
,642
,642
,643
,642
,642
,641
,642
,642
,641
,641
,641
,642
,641
,642
,641
,642
,642
,642
,643
,642
,642
,641
,642
,641
,642
,641
,642
,642
,641
,642
,641
,641
,641
,642
,642
,641
,641
,642
,642
,642
,642
,641
,641
,642
,642
,642
,642
,642
,642
,641
,642
,642
,642
,642
,642
,642
,641
,641
,641
,642
,642
,642
,641
,642
,641
,641
,641
,641
,641
,641
,642
,641
,642
,642
,641
,642
,642
,641
,642
,641
,642
,642
,641
,642
,641
,641
,642
,642
,642
,641
,642
,642
,642
,641
,642
,641
,641
,642
,641
,642
,641
,641
,642
,642
,641
,642
,642
,642
,642
,642
,641
,642
,642
,642
,641
,642
,642
,641
,642
,642
,641
,641
,642
,641
,642
,642
,641
,641
,642
,642
,642
,642
,641
,642
,642
,641
,642
,641
,641
,641
,642
,642
,642
,641
,642
,642
,641
,641
,642
,642
,642
,641
,642
,642
,641
,642
,641
,641
,641
,641
,641
,642
,642
,641
,642
,641
,642
,642
,641
,641
,642
,642
,641
,642
,641
,642
,641
,641
,642
,641
,642
,642
,642
,642
,642
,642
,642
,642
,641
,642
,642
,642
,642
,642
,641
,642
,642
,642
,642
,642
,641
,641
,641
,641
,641
,641
,642
,642
,642
,641
,641
,641
,642
,641
,642
,641
,641
,641
,641
,641
,642
,641
,641
,642
,641
,641
,641
,642
,641
,641
,642
,642
,641
,641
,642
,642
,642
,642
,641
,642
,641
,641
,641
,641
,641
,642
,641
,641
,642
,642
,642
,641
,642
,641
,642
,642
,641
,642
,642
,642
,642
,642
,641
,641
,642
,641
,642
,642
,641
,642
,641
,642
,642
,642
,641
,642
,641
,642
,641
,641
,642
,641
,641
,641
,641
,641
,642
,642
,641
,641
,642
,641
,642
,642
,641
,642
,642
,641
,642
,641
,642
,641
,642
,641
,641
,641
,641
,642
,641
,642
,641
,642
,641
,642
,641
,641
,642
,641
,642
,642
,642
,641
,641
,641
,641
,641
,642
,641
,642
,641
,642
,642
,641
,641
,641
,641
,642
,642
,641
,642
,641
,642
,641
,641
,642
,641
,641
,642
,642
,641
,642
,642
,641
,642
,641
,642
,641
,642
,641
,642
,642
,641
,642
,642
,641
,641
,642
,641
,642
,641
,641
,642
,642
,642
,641
,642
,642
,641
,641
,641
,641
,642
,642
,641
,642
,642
,641
,642
,642
,641
,642
,641
,642
,641
,642
,641
,641
,642
,641
,642
,641
,641
,641
,642
,641
,641
,641
,641
,639
,637
,634
,632
,630
,627
,626
,624
,622
,621
,618
,615
,612
,609
,606
,602
,600
,597
,595
,593
,590
,589
,587
,585
,584
,582
,580
,577
,576
,573
,569
,566
,563
,560
,558
,554
,552
,550
,547
,545
,544
,543
,542
,540
,538
,536
,534
,531
,529
,526
,522
,519
,515
,514
,512
,510
,508
,507
,507
,505
Window 2,
,630
,626
,639
,641
,642
,640
,633
,629
,635
,641
,642
,642
,641
,642
,636
,637
,642
,642
,642
,641
,641
,641
,641
,641
,641
,642
,641
,641
,641
,642
,642
,642
,642
,642
,641
,641
,642
,641
,642
,641
,642
,642
,642
,641
,642
,642
,641
,641
,642
,641
,641
,642
,642
,641
,641
,641
,641
,642
,641
,641
,641
,641
,641
,642
,641
,642
,641
,642
,642
,642
,641
,642
,641
,642
,642
,642
,642
,642
,641
,642
,641
,642
,641
,642
,642
,641
,641
,641
,642
,641
,642
,641
,642
,641
,642
,642
,641
,642
,641
,641
,641
,641
,642
,641
,641
,641
,642
,641
,641
,641
,641
,641
,641
,640
,639
,637
,635
,633
,631
,628
,625
,621
,615
,611
,606
,600
,600
,601
,599
,593
,592
,593
,593
,593
,592
,591
,587
,585
,582
,581
,578
,577
,574
,573
,570
,568
,567
,566
,565
,563
,562
,561
,560
,558
,556
,554
,552
,549
,547
,545
,543
,542
,540
,538
,537
,537
,536
,536
,540
,543
,545
,547
,545
,543
,540
,535
,529
,525
,523
,520
,518
,516
,515
,512
,512
,512
,513
,517
,524
,530
,533
,532
,526
,519
,512
,506
,501
,498
,499
,500
,500
,499
,498
,497
,497
,497
,496
,495
,493
,491
,487
,485
,484
,484
,486
,486
,485
,485
,484
,481
,479
,477
,473
,470
,466
,463
,463
,463
,462
,460
,461
,462
,462
,460
,457
,456
,455
,454
,452
,452
,451
,450
,449
,447
,446
,445
,443
,441
,439
,437
,435
,433
,430
,429
,429
,429
,430
,430
,430
,429
,427
,424
,422
,421
,419
,417
,415
,413
,411
,410
,409
,407
,406
,405
,403
,403
,402
,402
,400
,399
,397
,395
,394
,391
,388
,386
,384
,382
,380
,379
,378
,376
,375
,373
,372
,369
,368
,366
,363
,359
,356
,354
,351
,348
,347
,345
,343
,343
,342
,340
,338
,337
,335
,334
,333
,329
,327
,324
,321
,318
,316
,314
,311
,309
,308
,306
,306
,304
,302
,300
,299
,297
,295
,293
,291
,288
,285
,282
,280
,278
,276
,273
,272
,270
,269
,267
,266
,264
,263
,262
,261
,259
,257
,255
,253
,250
,247
,245
,244
,242
,239
,238
,237
,235
,233
,233
,230
,227
,225
,222
,220
,217
,214
,211
,210
,207
,205
,202
,200
,198
,197
,196
,195
,193
,192
,190
,189
,186
,184
,182
,180
,178
,176
,174
,172
,170
,169
,167
,165
,164
,163
,161
,160
,157
,155
,154
,153
,153
,151
,150
,149
,148
,147
,145
,143
,143
,141
,139
,138
,137
,135
,134
,133
,132
,132
,131
,131
,131
,131
,130
,129
,127
,127
,126
,124
,124
,122
,121
,121
,119
,119
,118
,118
,119
,119
,119
,119
,119
,118
,118
,117
,115
,115
,114
,114
,113
,113
,112
,112
,112
,112
,113
,113
,114
,114
,113
,112
,112
,112
,112
,111
,110
,110
,108
,108
,108
,108
,110
,109
,111
,111
,112
,112
,111
,111
,111
,111
,110
,110
,110
,110
,109
,110
,110
,111
,110
,111
,112
,112
,113
Window 3,
,318
,315
,320
,326
,334
,338
,343
,350
,353
,357
,358
,358
,357
,358
,357
,376
,417
,456
,486
,504
,516
,516
,535
,566
,582
,594
,605
,614
,621
,629
,635
,641
,641
,641
,642
,641
,641
,641
,641
,639
,636
,630
,622
,616
,616
,619
,625
,622
,618
,614
,611
,611
,613
,613
,612
,616
,619
,627
,630
,629
,623
,621
,625
,628
,633
,631
,636
,635
,639
,641
,642
,641
,641
,641
,642
,642
,642
,641
,642
,641
,641
,642
,641
,641
,641
,641
,642
,642
,641
,641
,641
,642
,642
,642
,642
,642
,642
,642
,641
,641
,641
,642
,642
,642
,642
,641
,642
,641
,642
,642
,641
,641
,642
,636
,641
,641
,641
,641
,641
,641
,641
,641
,641
,641
,641
,635
,627
,622
,625
,628
,628
,624
,621
,620
,619
,621
,623
,627
,630
,630
,626
,619
,611
,605
,601
,594
,587
,581
,585
,591
,593
,594
,593
,592
,590
,586
,586
,586
,584
,581
,579
,578
,576
,575
,572
,569
,567
,566
,565
,564
,562
,561
,561
,561
,560
,557
,554
,551
,546
,542
,537
,535
,532
,533
,532
,531
,528
,528
,527
,527
,527
,527
,524
,520
,516
,513
,510
,508
,504
,502
,498
,496
,494
,492
,490
,488
,487
,486
,485
,484
,483
,481
,479
,477
,475
,473
,470
,468
,466
,464
,462
,460
,457
,456
,456
,458
,461
,462
,463
,461
,459
,456
,455
,451
,449
,448
,445
,442
,440
,440
,443
,445
,447
,448
,449
,449
,448
,447
,446
,445
,440
,435
,431
,428
,426
,424
,422
,423
,424
,422
,421
,417
,414
,411
,410
,410
,410
,409
,408
,406
,405
,404
,402
,400
,399
,404
,409
,413
,415
,415
,412
,408
,405
,402
,400
,398
,399
,398
,397
,397
,395
,393
,389
,385
,381
,381
,380
,378
,379
,381
,383
,384
,382
,380
,377
,375
,374
,374
,372
,369
,368
,367
,367
,368
,368
,369
,370
,372
,372
,369
,366
,361
,357
,353
,353
,353
,351
,350
,350
,349
,347
,346
,345
,345
,344
,343
,343
,342
,340
,339
,337
,334
,332
,331
,329
,327
,326
,324
,322
,321
,320
,319
,318
,316
,315
,314
,312
,310
,309
,307
,306
,305
,303
,303
,302
,301
,299
,298
,296
,295
,295
,294
,293
,292
,290
,288
,286
,285
,282
,280
,278
,276
,273
,271
,269
,268
,266
,264
,264
,263
,262
,260
,259
,257
,255
,252
,250
,250
,248
,246
,243
,241
,239
,237
,236
,235
,234
,233
,232
,231
,229
,228
,224
,222
,221
,219
,217
,214
,212
,210
,207
,206
,204
,203
,202
,200
,199
,198
,196
,193
,191
,188
,186
,185
,183
,181
,179
,177
,175
,173
,171
,169
,167
,165
,163
,161
,160
,158
,157
,156
,155
,154
,153
,152
,151
,149
,148
,147
,145
,143
,142
,141
,139
,138
,137
,137
,136
,136
,136
,137
,137
,137
,137
,136
,136
,135
,133
,132
,131
,130
,130
,129
,128
,129
,129
,129
,130
,130
,131
,131
,132
,132
,132
,131
,130
,130
,128
,127
,127
,126
Window 4,
,642
,641
,641
,642
,641
,641
,642
,641
,642
,642
,642
,642
,642
,641
,642
,641
,641
,641
,641
,641
,641
,641
,642
,641
,641
,641
,642
,641
,641
,641
,641
,642
,642
,641
,642
,642
,641
,641
,641
,641
,641
,642
,642
,641
,642
,641
,642
,642
,642
,642
,642
,642
,642
,641
,642
,641
,641
,641
,642
,642
,641
,642
,641
,641
,642
,641
,641
,642
,642
,642
,641
,642
,642
,642
,642
,642
,642
,641
,641
,642
,641
,641
,642
,641
,641
,641
,641
,642
,642
,642
,641
,641
,641
,642
,641
,642
,642
,642
,642
,642
,641
,642
,642
,641
,642
,641
,641
,641
,641
,641
,635
,629
,622
,622
,626
,620
,615
,611
,610
,608
,605
,603
,601
,599
,598
,596
,594
,593
,591
,590
,589
,586
,584
,582
,579
,577
,574
,571
,568
,565
,564
,562
,560
,558
,557
,556
,555
,553
,552
,551
,549
,547
,545
,541
,538
,536
,536
,535
,534
,533
,532
,531
,531
,529
,527
,526
,525
,523
,522
,522
,520
,518
,516
,513
,511
,512
,515
,519
,522
,522
,520
,517
,513
,511
,514
,518
,521
,521
,517
,512
,507
,505
,505
,508
,512
,514
,514
,511
,506
,501
,498
,496
,494
,493
,491
,488
,486
,483
,480
,478
,476
,476
,474
,472
,469
,468
,466
,465
,463
,461
,459
,455
,451
,446
,444
,445
,445
,442
,439
,437
,435
,434
,432
,431
,430
,429
,429
,429
,429
,428
,428
,427
,423
,419
,415
,413
,409
,407
,406
,404
,403
,403
,403
,403
,405
,407
,411
,412
,412
,411
,408
,403
,399
,393
,389
,386
,384
,382
,381
,379
,378
,376
,374
,373
,371
,370
,369
,367
,365
,362
,361
,358
,357
,356
,354
,351
,347
,344
,342
,341
,342
,341
,339
,336
,332
,330
,328
,325
,322
,321
,318
,316
,313
,312
,309
,308
,306
,305
,303
,302
,301
,300
,297
,295
,292
,289
,286
,283
,281
,278
,276
,274
,272
,270
,270
,268
,267
,265
,262
,260
,258
,255
,252
,249
,245
,243
,240
,237
,234
,233
,230
,228
,226
,224
,222
,220
,217
,215
,213
,210
,208
,207
,205
,205
,204
,202
,199
,197
,194
,192
,189
,187
,185
,184
,181
,179
,178
,176
,176
,175
,174
,174
,173
,172
,171
,170
,170
,168
,167
,166
,165
,163
,164
,162
,161
,161
,161
,161
,161
,161
,161
,162
,162
,161
,161
,160
,158
,159
,157
,157
,156
,157
,157
,158
,158
,159
,159
,161
,162
,162
,162
,161
,161
,161
,160
,160
,159
,159
,159
,159
,159
,160
,161
,161
,163
,164
,164
,165
,165
,165
,165
,164
,163
,164
,163
,163
,164
,163
,164
,164
,165
,165
,166
,168
,168
,169
,169
,169
,169
,168
,168
,168
,168
,167
,167
,167
,167
,167
,168
,170
,170
,172
,171
,172
,172
,172
,172
,171
,171
,170
,170
,169
,168
,168
,168
,168
,170
,171
,172
,172
,173
,173
,174
,174
,174
,173
,173
,172
,171
,170
,170
,171
,171
,172
,174
,175
,174
,174
,174
,175
Window 5,
,642
,642
,642
,641
,641
,641
,641
,641
,641
,642
,642
,641
,642
,642
,641
,642
,641
,642
,641
,642
,642
,639
,638
,642
,641
,641
,641
,641
,641
,641
,641
,642
,641
,641
,641
,641
,642
,641
,641
,641
,641
,641
,642
,641
,641
,641
,642
,641
,641
,641
,641
,641
,641
,642
,642
,641
,641
,639
,638
,636
,632
,642
,642
,642
,641
,641
,641
,641
,642
,641
,635
,635
,637
,638
,636
,634
,634
,634
,634
,634
,633
,633
,632
,631
,630
,629
,625
,621
,615
,611
,608
,608
,609
,608
,604
,601
,600
,599
,599
,596
,595
,592
,591
,589
,588
,587
,585
,582
,580
,577
,575
,572
,569
,567
,565
,562
,559
,555
,553
,551
,549
,549
,549
,547
,546
,545
,543
,542
,540
,539
,537
,536
,535
,533
,532
,531
,530
,529
,528
,527
,526
,524
,522
,521
,521
,520
,517
,515
,514
,512
,510
,509
,507
,506
,505
,503
,501
,500
,498
,498
,499
,501
,501
,500
,497
,494
,491
,488
,486
,487
,487
,488
,493
,502
,511
,516
,519
,514
,508
,501
,495
,489
,486
,484
,484
,482
,482
,481
,481
,482
,483
,484
,485
,484
,481
,479
,476
,473
,471
,469
,468
,466
,464
,463
,462
,460
,458
,457
,456
,456
,455
,455
,455
,454
,451
,448
,446
,443
,440
,438
,436
,435
,434
,433
,432
,432
,431
,430
,429
,428
,428
,428
,427
,424
,421
,417
,413
,409
,406
,404
,404
,404
,403
,404
,403
,401
,400
,398
,397
,396
,394
,393
,391
,389
,386
,383
,380
,377
,375
,372
,371
,369
,367
,365
,364
,362
,362
,361
,360
,358
,355
,352
,349
,345
,341
,339
,337
,334
,332
,329
,326
,324
,320
,319
,316
,314
,312
,309
,306
,303
,299
,296
,293
,291
,290
,288
,286
,284
,282
,280
,277
,276
,272
,270
,267
,263
,260
,257
,254
,251
,248
,245
,243
,240
,237
,235
,232
,230
,228
,225
,223
,222
,219
,216
,214
,211
,209
,207
,204
,202
,200
,197
,195
,193
,191
,190
,188
,185
,183
,181
,179
,178
,177
,176
,175
,174
,172
,172
,171
,169
,167
,166
,164
,162
,160
,159
,158
,156
,156
,155
,155
,154
,153
,154
,153
,153
,153
,152
,151
,150
,148
,147
,145
,144
,143
,142
,141
,142
,142
,142
,143
,142
,142
,141
,141
,140
,140
,137
,137
,136
,135
,134
,133
,133
,133
,133
,133
,134
,135
,134
,135
,134
,135
,134
,133
,133
,131
,131
,129
,130
,129
,130
,130
,130
,131
,132
,133
,133
,133
,133
,133
,132
,132
,131
,131
,130
,129
,128
,128
,128
,129
,129
,130
,131
,131
,133
,133
,134
,133
,132
,133
,132
,131
,131
,130
,130
,130
,129
,130
,131
,132
,133
,134
,133
,134
,134
,134
,134
,134
,133
,133
,131
,130
,130
,130
,130
,131
,132
,132
,133
,135
,135
,135
,136
,136
,136
,135
,135
,134
,134
,133
,132
,133
,133
,134
,134
,135
,136
,137
,138
,138
,137
,137
,137
,136
,136
,135
,134
,134
,133
Window 6,
,570
,569
,574
,575
,576
,573
,570
,568
,572
,576
,571
,564
,558
,560
,566
,578
,590
,593
,597
,601
,601
,600
,597
,591
,587
,589
,594
,600
,597
,600
,606
,610
,608
,605
,611
,621
,628
,635
,638
,638
,641
,641
,641
,641
,636
,630
,631
,633
,633
,630
,621
,614
,615
,617
,621
,626
,622
,614
,607
,601
,596
,599
,607
,605
,603
,597
,594
,589
,594
,602
,601
,601
,601
,603
,605
,609
,613
,616
,616
,612
,607
,608
,608
,609
,614
,614
,607
,600
,595
,592
,590
,587
,586
,584
,585
,583
,577
,570
,562
,555
,550
,551
,549
,548
,545
,550
,552
,553
,553
,553
,554
,552
,551
,549
,543
,539
,536
,534
,534
,537
,536
,533
,531
,532
,532
,531
,531
,531
,532
,532
,531
,530
,526
,523
,520
,517
,515
,514
,512
,510
,509
,508
,507
,506
,505
,504
,503
,502
,500
,499
,497
,495
,492
,490
,487
,485
,484
,483
,481
,481
,480
,480
,480
,478
,476
,474
,472
,473
,474
,473
,471
,470
,468
,466
,464
,462
,461
,460
,459
,459
,458
,457
,456
,454
,452
,450
,448
,445
,444
,442
,441
,440
,440
,439
,440
,440
,440
,439
,437
,434
,432
,429
,430
,429
,428
,426
,426
,424
,423
,422
,422
,420
,419
,419
,418
,416
,415
,414
,412
,411
,410
,410
,408
,408
,406
,405
,403
,402
,400
,398
,395
,394
,392
,393
,393
,392
,391
,389
,387
,385
,383
,382
,380
,379
,377
,375
,373
,371
,370
,370
,369
,369
,368
,367
,367
,366
,365
,362
,360
,358
,356
,354
,352
,351
,350
,349
,348
,347
,348
,347
,347
,347
,346
,344
,341
,338
,334
,332
,328
,326
,325
,323
,322
,320
,317
,315
,314
,313
,312
,310
,309
,307
,306
,304
,302
,299
,296
,292
,289
,287
,285
,284
,283
,284
,283
,282
,281
,279
,276
,275
,272
,270
,267
,264
,262
,261
,258
,257
,256
,254
,252
,251
,249
,247
,247
,245
,242
,240
,238
,235
,232
,229
,227
,224
,221
,219
,217
,215
,213
,211
,210
,208
,206
,204
,202
,199
,196
,195
,194
,192
,190
,188
,186
,185
,182
,179
,178
,176
,174
,172
,170
,168
,167
,165
,163
,163
,163
,162
,162
,161
,160
,158
,156
,155
,153
,151
,150
,148
,146
,145
,144
,143
,142
,142
,142
,142
,142
,142
,141
,141
,140
,139
,138
,137
,136
,135
,133
,132
,132
,133
,132
,133
,133
,133
,135
,135
,135
,134
,134
,134
,134
,132
,132
,131
,130
,130
,130
,130
,130
,131
,131
,131
,131
,132
,132
,132
,132
,132
,131
