Note,Value
Begin Recording - 15:32:35,
Window 1,
,59
,59
,58
,60
,60
,60
,61
,60
,59
,59
,59
,59
,59
,59
,59
,59
,59
,59
,59
,58
,58
,58
,58
,58
,58
,57
,58
,57
,57
,58
,58
,58
,59
,58
,58
,58
,57
,58
,57
,58
,58
,57
,58
,58
,58
,57
,57
,57
,57
,58
,58
,58
,57
,58
,57
,57
,57
,58
,58
,57
,58
,57
,57
,57
,57
,57
,57
,58
,58
,58
,58
,57
,57
,57
,58
,58
,58
,58
,57
,57
,57
,56
,56
,56
,56
,57
,57
,56
,56
,56
,56
,56
,56
,56
,56
,56
,56
,56
,56
,56
,55
,56
,56
,56
,57
,57
,57
,57
,56
,56
,56
,56
,56
,57
,57
,56
,56
,56
,56
,56
,56
,57
,57
,57
,57
,57
,57
,57
,57
,57
,57
,57
,57
,57
,56
,56
,57
,57
,58
,58
,59
,60
,59
,59
,60
,60
,59
,59
,59
,60
,60
,60
,60
,59
,59
,59
,60
,61
,61
,61
,61
,60
,60
,60
,60
,60
,60
,60
,60
,60
,60
,59
,60
,60
,61
,62
,62
,61
,60
,60
,60
,60
,60
,60
,61
,61
,61
,61
,60
,60
,61
,62
,62
,62
,62
,63
,62
,62
,61
,62
,61
,60
,62
,60
,61
,60
,59
,60
,60
,61
,62
,62
,64
,64
,63
,63
,63
,62
,62
,63
,63
,62
,63
,63
,62
,62
,62
,62
,62
,63
,62
,63
,62
,62
,62
,62
,62
,62
,61
,62
,62
,61
,61
,60
,60
,61
,60
,60
,61
,61
,61
,61
,60
,60
,60
,59
,59
,59
,59
,59
,58
,59
,58
,59
,60
,60
,60
,60
,60
,60
,60
,60
,59
,59
,59
,59
,59
,59
,58
,58
,58
,58
,59
,59
,60
,60
,59
,59
,59
,60
,60
,59
,60
,61
,61
,61
,61
,60
,60
,59
,60
,60
,60
,59
,59
,59
,60
,59
,59
,59
,59
,59
,59
,58
,58
,59
,57
,58
,59
,60
,60
,59
,58
,58
,58
,58
,59
,58
,58
,58
,58
,58
,57
,58
,58
,58
,58
,59
,59
,59
,58
,58
,57
,57
,57
,57
,57
,57
,57
,56
,56
,56
,56
,56
,56
,56
,55
,56
,55
,55
,54
,54
,55
,55
,55
,56
,57
,56
,56
,56
,56
,56
,57
,57
,57
,57
,56
,56
,56
,56
,56
,56
,56
,56
,56
,56
,55
,55
,55
,56
,56
,57
,56
,56
,56
,56
,55
,56
,56
,56
,56
,57
,56
,57
,56
,56
,57
,56
,56
,56
,56
,56
,56
,56
,56
,55
,54
,54
,55
,54
,54
,54
,53
,53
,54
,53
,54
,53
,53
,53
,53
,53
,53
,53
,53
,53
,54
,54
,54
,54
,53
,54
,53
,54
,54
,55
,55
,55
,54
,54
,54
,54
,55
,55
,55
,56
,56
,56
,56
,55
,55
,55
,55
,55
,55
,55
,55
,55
,55
,55
,55
,56
,56
,58
,58
,58
,58
,56
,57
,58
,57
,57
,57
,56
,57
,57
,56
,56
,56
,57
,57
,58
,57
,57
,57
,58
,58
,59
,59
,58
Window 2,
,434
,430
,428
,435
,445
,442
,440
,436
,433
,432
,435
,435
,433
,428
,424
,419
,419
,423
,426
,436
,450
,466
,471
,466
,468
,471
,469
,470
,481
,494
,511
,534
,549
,556
,560
,562
,563
,566
,569
,571
,573
,574
,574
,576
,576
,577
,576
,573
,572
,571
,571
,571
,567
,564
,560
,559
,556
,553
,550
,546
,545
,542
,541
,540
,538
,535
,534
,532
,531
,529
,527
,525
,521
,518
,516
,513
,511
,510
,508
,503
,496
,490
,485
,481
,476
,477
,478
,480
,483
,486
,486
,486
,485
,483
,479
,474
,468
,462
,458
,460
,460
,460
,461
,463
,465
,464
,465
,466
,467
,467
,465
,463
,461
,458
,455
,452
,450
,449
,447
,443
,440
,436
,432
,428
,424
,423
,422
,422
,418
,416
,418
,418
,417
,416
,416
,416
,416
,417
,413
,408
,404
,399
,396
,398
,398
,399
,395
,390
,387
,386
,385
,381
,378
,382
,383
,384
,386
,387
,389
,389
,389
,387
,382
,377
,374
,373
,372
,372
,371
,372
,370
,370
,370
,370
,369
,369
,368
,368
,367
,366
,365
,364
,361
,360
,358
,356
,354
,353
,351
,351
,350
,349
,349
,348
,348
,346
,345
,345
,344
,344
,342
,340
,339
,337
,335
,333
,332
,330
,329
,328
,327
,327
,326
,326
,325
,323
,319
,317
,318
,318
,316
,315
,312
,311
,310
,309
,308
,306
,305
,304
,304
,305
,305
,305
,305
,304
,303
,301
,300
,298
,297
,295
,293
,293
,292
,291
,291
,291
,288
,287
,286
,284
,283
,283
,283
,282
,280
,278
,275
,274
,271
,270
,268
,267
,265
,264
,262
,260
,259
,256
,255
,253
,252
,250
,247
,244
,240
,238
,235
,233
,231
,229
,227
,225
,225
,226
,225
,223
,223
,221
,218
,215
,213
,211
,208
,205
,203
,201
,198
,197
,196
,193
,191
,190
,189
,188
,187
,185
,183
,181
,179
,177
,175
,172
,171
,169
,167
,165
,162
,161
,161
,160
,159
,157
,156
,153
,153
,152
,152
,151
,149
,148
,147
,146
,144
,142
,141
,140
,138
,136
,135
,133
,132
,130
,129
,129
,129
,129
,129
,128
,128
,127
,124
,124
,122
,122
,120
,119
,118
,117
,116
,115
,115
,115
,115
,116
,116
,116
,115
,113
,113
,113
,112
,111
,109
,108
,107
,106
,105
,105
,105
,106
,106
,107
,107
,107
,107
,106
,106
,105
,103
,102
,102
,101
,99
,99
,100
,100
,101
,101
,101
,100
,99
,100
,99
,98
,97
,96
,96
,94
,94
,93
,91
,91
,92
,91
,92
,92
,92
,93
,92
,93
,93
,91
,91
,91
,90
,89
,88
,88
,88
,87
,87
,88
,88
,88
,88
,88
,88
,87
,87
,87
,86
,86
,85
,84
,83
,83
,82
,81
,82
,81
,81
,82
,83
,84
,84
,84
,85
,85
,85
,84
,84
,83
,82
,81
,81
,81
,81
,80
,80
,81
,81
,81
,83
,83
,83
,83
,83
,83
,82
,81
,80
,80
,80
,79
,79
,79
,79
,79
,80
,80
,82
,83
,84
,85
,85
,85
,84
,83
Window 3,
,595
,589
,586
,588
,585
,583
,583
,578
,571
,564
,568
,566
,569
,575
,575
,573
,571
,573
,576
,578
,579
,577
,576
,572
,569
,571
,570
,566
,559
,558
,566
,572
,571
,570
,572
,575
,579
,581
,581
,580
,579
,577
,576
,574
,572
,569
,566
,564
,561
,559
,558
,556
,554
,552
,551
,549
,547
,545
,542
,539
,536
,532
,529
,526
,524
,522
,519
,517
,516
,514
,513
,510
,510
,508
,507
,505
,504
,502
,500
,497
,495
,492
,489
,486
,482
,477
,475
,473
,472
,471
,468
,465
,461
,456
,452
,451
,450
,449
,447
,445
,443
,441
,439
,437
,435
,433
,431
,428
,425
,423
,421
,419
,417
,416
,413
,411
,407
,403
,397
,392
,390
,390
,388
,387
,385
,385
,386
,385
,385
,385
,383
,380
,378
,374
,373
,370
,368
,365
,364
,363
,360
,359
,358
,356
,355
,353
,352
,351
,350
,349
,347
,344
,342
,340
,337
,335
,334
,332
,331
,330
,329
,328
,327
,326
,325
,324
,321
,319
,316
,314
,311
,308
,306
,305
,304
,303
,301
,301
,300
,299
,297
,297
,295
,295
,293
,292
,291
,288
,286
,283
,281
,279
,277
,275
,274
,272
,271
,269
,268
,267
,265
,264
,263
,261
,259
,256
,254
,251
,249
,246
,245
,243
,241
,240
,239
,238
,237
,235
,233
,231
,230
,227
,225
,222
,219
,216
,215
,212
,211
,209
,208
,206
,205
,204
,203
,201
,200
,199
,197
,195
,192
,190
,188
,185
,183
,181
,179
,176
,175
,174
,173
,171
,170
,170
,168
,166
,164
,162
,160
,159
,158
,157
,155
,154
,152
,150
,149
,147
,145
,144
,144
,143
,142
,141
,140
,138
,137
,137
,137
,136
,135
,134
,134
,132
,130
,129
,127
,126
,125
,124
,123
,122
,122
,120
,120
,120
,119
,119
,118
,119
,117
,116
,115
,114
,114
,112
,111
,109
,110
,108
,107
,108
,110
,109
,108
,108
,107
,106
,106
,106
,105
,103
,103
,102
,100
,99
,98
,98
,97
,97
,97
,98
,98
,98
,98
,97
,97
,98
,97
,96
,96
,95
,93
,93
,92
,92
,91
,90
,90
,91
,91
,91
,91
,91
,90
,90
,90
,89
,88
,89
,88
,87
,85
,86
,86
,86
,86
,87
,86
,87
,87
,86
,87
,87
,86
,86
,85
,85
,84
,84
,83
,82
,82
,82
,82
,81
,82
,83
,82
,83
,82
,82
,83
,81
,81
,81
,79
,79
,79
,79
,79
,78
,79
,80
,81
,82
,83
,83
,83
,83
,82
,82
,81
,79
,79
,79
,78
,78
,79
,79
,79
,80
,81
,81
,81
,81
,80
,80
,80
,79
,78
,78
,78
,78
,77
,76
,76
,77
,77
,78
,79
,79
,79
,80
,80
,79
,79
,80
,79
,78
,79
,78
,78
,77
,78
,78
,79
,80
,80
,81
,81
,82
,82
